onset	duration	trial_type	sample	value
11.204	0.64	Stand	2801	2
11.844	0.64	Stand	2961	2
12.484	0.64	Stand	3121	2
13.124	0.64	Stand	3281	2
13.764	0.64	Stand	3441	2
14.404	0.64	Stand	3601	2
15.044	0.64	Stand	3761	2
15.684	0.64	Stand	3921	2
16.324	0.64	Stand	4081	2
16.964	0.64	Stand	4241	2
17.604	0.64	Stand	4401	2
18.244	0.64	Stand	4561	2
18.884	0.64	Stand	4721	2
19.524	0.64	Stand	4881	2
20.164	0.64	Stand	5041	2
20.804	0.64	Large dev	5201	4
21.444	0.64	Stand	5361	2
22.084	0.64	Stand	5521	2
22.724	0.64	Inter dev	5681	6
23.364	0.64	Stand	5841	2
24.004	0.64	Stand	6001	2
25.284	0.64	Stand	6321	2
25.924	0.64	Stand	6481	2
26.564	0.64	Stand	6641	2
27.204	0.64	Stand	6801	2
28.484	0.64	Stand	7121	2
29.124	0.64	Large dev	7281	4
29.764	0.64	Stand	7441	2
30.404	0.64	Stand	7601	2
31.044	0.64	Large dev	7761	4
31.684	0.64	Stand	7921	2
32.324	0.64	Inter dev	8081	6
32.964	0.64	Stand	8241	2
33.604	0.64	Stand	8401	2
34.244	0.64	Stand	8561	2
34.884	0.64	Stand	8721	2
35.524	0.64	Large dev	8881	4
36.164	0.64	Stand	9041	2
36.804	0.64	Stand	9201	2
37.444	0.64	Inter dev	9361	6
38.084	0.64	Stand	9521	2
38.724	0.64	Stand	9681	2
39.364	0.64	Stand	9841	2
40.004	0.64	Inter dev	10001	6
40.644	0.64	Stand	10161	2
41.924	0.64	Stand	10481	2
42.564	0.64	Stand	10641	2
43.204	0.64	Large dev	10801	4
43.844	0.64	Stand	10961	2
44.484	0.64	Stand	11121	2
45.124	0.64	Stand	11281	2
45.764	0.64	Inter dev	11441	6
46.404	0.64	Stand	11601	2
47.044	0.64	Stand	11761	2
48.324	0.64	Stand	12081	2
48.964	0.64	Stand	12241	2
49.604	0.64	Stand	12401	2
50.244	0.64	Inter dev	12561	6
50.884	0.64	Stand	12721	2
51.524	0.64	Stand	12881	2
52.164	0.64	Stand	13041	2
52.804	0.64	Stand	13201	2
54.084	0.64	Stand	13521	2
54.724	0.64	Stand	13681	2
55.364	0.64	Inter dev	13841	6
56.004	0.64	Stand	14001	2
56.644	0.64	Large dev	14161	4
57.284	0.64	Stand	14321	2
57.924	0.64	Stand	14481	2
59.204	0.64	Stand	14801	2
59.844	0.64	Stand	14961	2
60.484	0.64	Stand	15121	2
61.124	0.64	Inter dev	15281	6
61.764	0.64	Stand	15441	2
62.404	0.64	Stand	15601	2
63.044	0.64	Stand	15761	2
63.684	0.64	Large dev	15921	4
64.324	0.64	Stand	16081	2
64.964	0.64	Stand	16241	2
65.604	0.64	Inter dev	16401	6
66.244	0.64	Stand	16561	2
66.884	0.64	Stand	16721	2
67.524	0.64	Stand	16881	2
68.804	0.64	Stand	17201	2
69.444	0.64	Large dev	17361	4
70.084	0.64	Stand	17521	2
70.724	0.64	Stand	17681	2
71.364	0.64	Inter dev	17841	6
72.004	0.64	Stand	18001	2
72.644	0.64	Stand	18161	2
73.924	0.64	Stand	18481	2
74.564	0.64	Stand	18641	2
75.204	0.64	Stand	18801	2
75.844	0.64	Stand	18961	2
76.484	0.64	Large dev	19121	4
77.124	0.64	Stand	19281	2
78.404	0.64	Stand	19601	2
79.044	0.64	Stand	19761	2
79.684	0.64	Inter dev	19921	6
80.324	0.64	Stand	20081	2
80.964	0.64	Stand	20241	2
81.604	0.64	Stand	20401	2
82.244	0.64	Stand	20561	2
82.884	0.64	Inter dev	20721	6
83.524	0.64	Stand	20881	2
84.164	0.64	Stand	21041	2
84.804	0.64	Inter dev	21201	6
85.444	0.64	Stand	21361	2
86.084	0.64	Stand	21521	2
86.724	0.64	Stand	21681	2
88.004	0.64	Stand	22001	2
88.644	0.64	Stand	22161	2
89.284	0.64	Inter dev	22321	6
89.924	0.64	Stand	22481	2
90.564	0.64	Stand	22641	2
91.204	0.64	Large dev	22801	4
91.844	0.64	Stand	22961	2
92.484	0.64	Stand	23121	2
93.764	0.64	Stand	23441	2
94.404	0.64	Inter dev	23601	6
95.044	0.64	Stand	23761	2
96.324	0.64	Stand	24081	2
96.964	0.64	Inter dev	24241	6
97.604	0.64	Stand	24401	2
98.244	0.64	Stand	24561	2
98.884	0.64	Stand	24721	2
100.164	0.64	Stand	25041	2
100.804	0.64	Inter dev	25201	6
101.444	0.64	Stand	25361	2
102.084	0.64	Stand	25521	2
102.724	0.64	Stand	25681	2
103.364	0.64	Large dev	25841	4
104.004	0.64	Stand	26001	2
104.644	0.64	Stand	26161	2
105.28	0.64	Stand	26320	2
106.56	0.64	Stand	26640	2
107.2	0.64	Large dev	26800	4
107.84	0.64	Stand	26960	2
108.48	0.64	Stand	27120	2
109.124	0.64	Stand	27281	2
109.76	0.64	Inter dev	27440	6
110.4	0.64	Stand	27600	2
111.04	0.64	Stand	27760	2
111.68	0.64	Large dev	27920	4
112.32	0.64	Stand	28080	2
112.96	0.64	Stand	28240	2
113.6	0.64	Stand	28400	2
114.24	0.64	Large dev	28560	4
114.88	0.64	Stand	28720	2
115.52	0.64	Stand	28880	2
116.164	0.64	Inter dev	29041	6
116.804	0.64	Stand	29201	2
117.44	0.64	Stand	29360	2
118.08	0.64	Stand	29520	2
118.72	0.64	Stand	29680	2
119.36	0.64	Large dev	29840	4
120.0	0.64	Stand	30000	2
120.64	0.64	Stand	30160	2
121.924	0.64	Stand	30481	2
122.564	0.64	Stand	30641	2
123.204	0.64	Inter dev	30801	6
123.844	0.64	Stand	30961	2
124.48	0.64	Large dev	31120	4
125.12	0.64	Stand	31280	2
125.76	0.64	Stand	31440	2
127.04	0.64	Stand	31760	2
127.68	0.64	Inter dev	31920	6
128.32	0.64	Stand	32080	2
128.96	0.64	Stand	32240	2
129.604	0.64	Large dev	32401	4
130.244	0.64	Stand	32561	2
130.884	0.64	Stand	32721	2
131.524	0.64	Stand	32881	2
132.16	0.64	Stand	33040	2
132.8	0.64	Large dev	33200	4
133.44	0.64	Stand	33360	2
134.08	0.64	Stand	33520	2
134.72	0.64	Stand	33680	2
135.36	0.64	Inter dev	33840	6
136.004	0.64	Stand	34001	2
137.284	0.64	Stand	34321	2
137.924	0.64	Stand	34481	2
138.564	0.64	Large dev	34641	4
139.204	0.64	Stand	34801	2
140.48	0.64	Stand	35120	2
141.12	0.64	Stand	35280	2
141.76	0.64	Large dev	35440	4
142.4	0.64	Stand	35600	2
143.044	0.64	Stand	35761	2
143.684	0.64	Stand	35921	2
144.324	0.64	Stand	36081	2
144.964	0.64	Inter dev	36241	6
145.604	0.64	Stand	36401	2
146.244	0.64	Stand	36561	2
146.88	0.64	Stand	36720	2
147.52	0.64	Large dev	36880	4
148.16	0.64	Stand	37040	2
148.8	0.64	Stand	37200	2
150.084	0.64	Stand	37521	2
150.724	0.64	Stand	37681	2
151.364	0.64	Stand	37841	2
152.004	0.64	Stand	38001	2
152.644	0.64	Large dev	38161	4
153.284	0.64	Stand	38321	2
153.924	0.64	Stand	38481	2
154.56	0.64	Stand	38640	2
155.2	0.64	Stand	38800	2
156.484	0.64	Stand	39121	2
157.124	0.64	Stand	39281	2
157.764	0.64	Stand	39441	2
158.404	0.64	Inter dev	39601	6
159.044	0.64	Stand	39761	2
159.684	0.64	Stand	39921	2
160.324	0.64	Stand	40081	2
160.964	0.64	Stand	40241	2
161.644	0.64	Inter dev	40411	6
162.24	0.64	Stand	40560	2
162.88	0.64	Stand	40720	2
167.364	0.64	Inter dev	41841	6
168.004	0.64	Stand	42001	2
168.644	0.64	Stand	42161	2
169.284	0.64	Stand	42321	2
169.924	0.64	Stand	42481	2
170.564	0.64	Large dev	42641	4
171.204	0.64	Stand	42801	2
171.844	0.64	Stand	42961	2
172.484	0.64	Stand	43121	2
173.764	0.64	Stand	43441	2
174.404	0.64	Inter dev	43601	6
175.044	0.64	Stand	43761	2
175.684	0.64	Stand	43921	2
176.964	0.64	Stand	44241	2
177.604	0.64	Stand	44401	2
178.244	0.64	Stand	44561	2
178.884	0.64	Stand	44721	2
179.524	0.64	Large dev	44881	4
180.164	0.64	Stand	45041	2
180.804	0.64	Stand	45201	2
181.444	0.64	Stand	45361	2
182.084	0.64	Inter dev	45521	6
182.724	0.64	Stand	45681	2
183.364	0.64	Stand	45841	2
184.004	0.64	Stand	46001	2
185.284	0.64	Stand	46321	2
185.92	0.64	Stand	46480	2
186.56	0.64	Large dev	46640	4
187.2	0.64	Stand	46800	2
187.84	0.64	Inter dev	46960	6
188.48	0.64	Stand	47120	2
189.12	0.64	Stand	47280	2
189.76	0.64	Stand	47440	2
191.04	0.64	Stand	47760	2
191.68	0.64	Stand	47920	2
192.32	0.64	Large dev	48080	4
192.96	0.64	Stand	48240	2
193.6	0.64	Stand	48400	2
194.24	0.64	Stand	48560	2
194.88	0.64	Inter dev	48720	6
195.52	0.64	Stand	48880	2
196.16	0.64	Large dev	49040	4
196.8	0.64	Stand	49200	2
197.44	0.64	Stand	49360	2
198.08	0.64	Stand	49520	2
198.72	0.64	Stand	49680	2
199.36	0.64	Large dev	49840	4
