onset	duration	trial_type	sample	value
15.528	0.64	Stand	3882	2
16.168	0.64	Stand	4042	2
16.808	0.64	Stand	4202	2
17.448	0.64	Stand	4362	2
18.088	0.64	Stand	4522	2
18.728	0.64	Stand	4682	2
19.368	0.64	Stand	4842	2
20.008	0.64	Stand	5002	2
20.648	0.64	Stand	5162	2
21.288	0.64	Stand	5322	2
21.928	0.64	Stand	5482	2
22.568	0.64	Stand	5642	2
23.208	0.64	Stand	5802	2
23.848	0.64	Stand	5962	2
24.488	0.64	Stand	6122	2
25.128	0.64	Large dev	6282	4
25.768	0.64	Stand	6442	2
26.408	0.64	Stand	6602	2
27.048	0.64	Inter dev	6762	6
27.688	0.64	Stand	6922	2
28.328	0.64	Stand	7082	2
29.608	0.64	Stand	7402	2
30.248	0.64	Stand	7562	2
30.888	0.64	Stand	7722	2
31.528	0.64	Stand	7882	2
32.808	0.64	Stand	8202	2
33.448	0.64	Large dev	8362	4
34.088	0.64	Stand	8522	2
34.728	0.64	Stand	8682	2
35.368	0.64	Large dev	8842	4
36.008	0.64	Stand	9002	2
36.648	0.64	Inter dev	9162	6
37.288	0.64	Stand	9322	2
37.928	0.64	Stand	9482	2
38.568	0.64	Stand	9642	2
39.208	0.64	Stand	9802	2
39.848	0.64	Large dev	9962	4
40.488	0.64	Stand	10122	2
41.128	0.64	Stand	10282	2
41.768	0.64	Inter dev	10442	6
42.408	0.64	Stand	10602	2
43.048	0.64	Stand	10762	2
43.688	0.64	Stand	10922	2
44.328	0.64	Inter dev	11082	6
44.968	0.64	Stand	11242	2
46.248	0.64	Stand	11562	2
46.888	0.64	Stand	11722	2
47.528	0.64	Large dev	11882	4
48.168	0.64	Stand	12042	2
48.808	0.64	Stand	12202	2
49.448	0.64	Stand	12362	2
50.088	0.64	Inter dev	12522	6
50.728	0.64	Stand	12682	2
51.368	0.64	Stand	12842	2
52.648	0.64	Stand	13162	2
53.288	0.64	Stand	13322	2
53.928	0.64	Stand	13482	2
54.568	0.64	Inter dev	13642	6
55.208	0.64	Stand	13802	2
55.848	0.64	Stand	13962	2
56.488	0.64	Stand	14122	2
57.128	0.64	Stand	14282	2
58.408	0.64	Stand	14602	2
59.048	0.64	Stand	14762	2
59.688	0.64	Inter dev	14922	6
60.328	0.64	Stand	15082	2
60.968	0.64	Large dev	15242	4
61.608	0.64	Stand	15402	2
62.248	0.64	Stand	15562	2
63.528	0.64	Stand	15882	2
64.168	0.64	Stand	16042	2
64.808	0.64	Stand	16202	2
65.448	0.64	Inter dev	16362	6
66.088	0.64	Stand	16522	2
66.728	0.64	Stand	16682	2
67.368	0.64	Stand	16842	2
68.008	0.64	Large dev	17002	4
68.648	0.64	Stand	17162	2
69.288	0.64	Stand	17322	2
69.928	0.64	Inter dev	17482	6
70.568	0.64	Stand	17642	2
71.208	0.64	Stand	17802	2
71.848	0.64	Stand	17962	2
73.128	0.64	Stand	18282	2
73.768	0.64	Large dev	18442	4
74.408	0.64	Stand	18602	2
75.048	0.64	Stand	18762	2
75.688	0.64	Inter dev	18922	6
76.328	0.64	Stand	19082	2
76.968	0.64	Stand	19242	2
78.248	0.64	Stand	19562	2
78.888	0.64	Stand	19722	2
79.528	0.64	Stand	19882	2
80.168	0.64	Stand	20042	2
80.808	0.64	Large dev	20202	4
81.448	0.64	Stand	20362	2
82.728	0.64	Stand	20682	2
83.368	0.64	Stand	20842	2
84.008	0.64	Inter dev	21002	6
84.648	0.64	Stand	21162	2
85.288	0.64	Stand	21322	2
85.928	0.64	Stand	21482	2
86.568	0.64	Stand	21642	2
87.208	0.64	Inter dev	21802	6
87.848	0.64	Stand	21962	2
88.488	0.64	Stand	22122	2
89.128	0.64	Inter dev	22282	6
89.768	0.64	Stand	22442	2
90.408	0.64	Stand	22602	2
91.048	0.64	Stand	22762	2
92.328	0.64	Stand	23082	2
92.968	0.64	Stand	23242	2
93.608	0.64	Inter dev	23402	6
94.248	0.64	Stand	23562	2
94.888	0.64	Stand	23722	2
95.528	0.64	Large dev	23882	4
96.168	0.64	Stand	24042	2
96.808	0.64	Stand	24202	2
98.088	0.64	Stand	24522	2
98.728	0.64	Inter dev	24682	6
99.368	0.64	Stand	24842	2
100.648	0.64	Stand	25162	2
101.288	0.64	Inter dev	25322	6
101.928	0.64	Stand	25482	2
102.568	0.64	Stand	25642	2
103.208	0.64	Stand	25802	2
104.488	0.64	Stand	26122	2
105.128	0.64	Inter dev	26282	6
105.768	0.64	Stand	26442	2
106.408	0.64	Stand	26602	2
107.048	0.64	Stand	26762	2
107.688	0.64	Large dev	26922	4
108.328	0.64	Stand	27082	2
108.968	0.64	Stand	27242	2
109.608	0.64	Stand	27402	2
110.888	0.64	Stand	27722	2
111.528	0.64	Large dev	27882	4
112.168	0.64	Stand	28042	2
112.808	0.64	Stand	28202	2
113.448	0.64	Stand	28362	2
114.088	0.64	Inter dev	28522	6
114.728	0.64	Stand	28682	2
115.368	0.64	Stand	28842	2
116.008	0.64	Large dev	29002	4
116.648	0.64	Stand	29162	2
117.288	0.64	Stand	29322	2
117.928	0.64	Stand	29482	2
118.568	0.64	Large dev	29642	4
119.208	0.64	Stand	29802	2
119.848	0.64	Stand	29962	2
120.488	0.64	Inter dev	30122	6
121.128	0.64	Stand	30282	2
121.768	0.64	Stand	30442	2
122.408	0.64	Stand	30602	2
123.048	0.64	Stand	30762	2
123.688	0.64	Large dev	30922	4
124.328	0.64	Stand	31082	2
124.968	0.64	Stand	31242	2
126.248	0.64	Stand	31562	2
126.888	0.64	Stand	31722	2
127.528	0.64	Inter dev	31882	6
128.168	0.64	Stand	32042	2
128.808	0.64	Large dev	32202	4
129.448	0.64	Stand	32362	2
130.088	0.64	Stand	32522	2
131.368	0.64	Stand	32842	2
132.008	0.64	Inter dev	33002	6
132.648	0.64	Stand	33162	2
133.288	0.64	Stand	33322	2
133.928	0.64	Large dev	33482	4
134.568	0.64	Stand	33642	2
135.208	0.64	Stand	33802	2
135.848	0.64	Stand	33962	2
136.488	0.64	Stand	34122	2
137.128	0.64	Large dev	34282	4
137.768	0.64	Stand	34442	2
138.408	0.64	Stand	34602	2
139.048	0.64	Stand	34762	2
139.688	0.64	Inter dev	34922	6
140.328	0.64	Stand	35082	2
141.608	0.64	Stand	35402	2
142.248	0.64	Stand	35562	2
142.888	0.64	Large dev	35722	4
143.528	0.64	Stand	35882	2
144.168	0.64	Stand	36042	2
144.808	0.64	Stand	36202	2
145.448	0.64	Stand	36362	2
146.088	0.64	Large dev	36522	4
146.728	0.64	Stand	36682	2
147.368	0.64	Stand	36842	2
148.008	0.64	Stand	37002	2
148.648	0.64	Stand	37162	2
149.288	0.64	Inter dev	37322	6
149.928	0.64	Stand	37482	2
150.568	0.64	Stand	37642	2
151.208	0.64	Stand	37802	2
151.848	0.64	Large dev	37962	4
152.488	0.64	Stand	38122	2
153.128	0.64	Stand	38282	2
154.408	0.64	Stand	38602	2
155.048	0.64	Stand	38762	2
155.688	0.64	Stand	38922	2
156.328	0.64	Stand	39082	2
156.968	0.64	Large dev	39242	4
157.608	0.64	Stand	39402	2
158.248	0.64	Stand	39562	2
158.888	0.64	Stand	39722	2
159.528	0.64	Stand	39882	2
160.808	0.64	Stand	40202	2
161.448	0.64	Stand	40362	2
162.088	0.64	Stand	40522	2
162.728	0.64	Inter dev	40682	6
163.368	0.64	Stand	40842	2
164.008	0.64	Stand	41002	2
164.648	0.64	Stand	41162	2
165.288	0.64	Stand	41322	2
165.928	0.64	Inter dev	41482	6
166.568	0.64	Stand	41642	2
167.208	0.64	Stand	41802	2
167.848	0.64	Stand	41962	2
169.128	0.64	Stand	42282	2
169.768	0.64	Stand	42442	2
170.408	0.64	Large dev	42602	4
171.048	0.64	Stand	42762	2
171.688	0.64	Inter dev	42922	6
172.328	0.64	Stand	43082	2
172.968	0.64	Stand	43242	2
173.608	0.64	Stand	43402	2
174.248	0.64	Stand	43562	2
174.888	0.64	Large dev	43722	4
175.528	0.64	Stand	43882	2
176.168	0.64	Stand	44042	2
176.808	0.64	Stand	44202	2
178.088	0.64	Stand	44522	2
178.728	0.64	Inter dev	44682	6
179.368	0.64	Stand	44842	2
180.008	0.64	Stand	45002	2
181.288	0.64	Stand	45322	2
181.928	0.64	Stand	45482	2
182.568	0.64	Stand	45642	2
183.208	0.64	Stand	45802	2
183.848	0.64	Large dev	45962	4
184.488	0.64	Stand	46122	2
185.128	0.64	Stand	46282	2
185.768	0.64	Stand	46442	2
186.408	0.64	Inter dev	46602	6
187.048	0.64	Stand	46762	2
187.688	0.64	Stand	46922	2
188.328	0.64	Stand	47082	2
189.608	0.64	Stand	47402	2
190.248	0.64	Stand	47562	2
190.888	0.64	Large dev	47722	4
191.528	0.64	Stand	47882	2
192.168	0.64	Inter dev	48042	6
192.808	0.64	Stand	48202	2
193.448	0.64	Stand	48362	2
194.088	0.64	Stand	48522	2
195.368	0.64	Stand	48842	2
196.008	0.64	Stand	49002	2
196.648	0.64	Large dev	49162	4
197.288	0.64	Stand	49322	2
197.928	0.64	Stand	49482	2
198.568	0.64	Stand	49642	2
199.208	0.64	Inter dev	49802	6
199.848	0.64	Stand	49962	2
200.488	0.64	Large dev	50122	4
201.128	0.64	Stand	50282	2
201.768	0.64	Stand	50442	2
202.408	0.64	Stand	50602	2
203.048	0.64	Stand	50762	2
203.688	0.64	Large dev	50922	4
204.328	0.64	Stand	51082	2
204.968	0.64	Stand	51242	2
205.608	0.64	Inter dev	51402	6
206.248	0.64	Stand	51562	2
206.888	0.64	Stand	51722	2
207.528	0.64	Stand	51882	2
208.808	0.64	Stand	52202	2
209.448	0.64	Stand	52362	2
210.088	0.64	Inter dev	52522	6
210.728	0.64	Stand	52682	2
211.368	0.64	Stand	52842	2
212.008	0.64	Stand	53002	2
212.648	0.64	Large dev	53162	4
213.288	0.64	Stand	53322	2
213.928	0.64	Stand	53482	2
215.208	0.64	Stand	53802	2
216.488	0.64	Stand	54122	2
217.128	0.64	Stand	54282	2
217.768	0.64	Large dev	54442	4
218.408	0.64	Stand	54602	2
219.048	0.64	Stand	54762	2
219.688	0.64	Stand	54922	2
220.968	0.64	Stand	55242	2
221.608	0.64	Stand	55402	2
222.248	0.64	Large dev	55562	4
222.888	0.64	Stand	55722	2
223.528	0.64	Stand	55882	2
224.168	0.64	Inter dev	56042	6
224.808	0.64	Stand	56202	2
225.448	0.64	Stand	56362	2
226.088	0.64	Large dev	56522	4
226.728	0.64	Stand	56682	2
228.008	0.64	Stand	57002	2
228.648	0.64	Stand	57162	2
229.288	0.64	Stand	57322	2
230.568	0.64	Stand	57642	2
231.208	0.64	Stand	57802	2
231.848	0.64	Stand	57962	2
232.488	0.64	Large dev	58122	4
233.128	0.64	Stand	58282	2
234.408	0.64	Stand	58602	2
235.048	0.64	Inter dev	58762	6
235.688	0.64	Stand	58922	2
236.328	0.64	Stand	59082	2
236.968	0.64	Stand	59242	2
238.248	0.64	Stand	59562	2
238.888	0.64	Stand	59722	2
239.528	0.64	Large dev	59882	4
240.168	0.64	Stand	60042	2
240.808	0.64	Inter dev	60202	6
241.448	0.64	Stand	60362	2
242.088	0.64	Stand	60522	2
242.728	0.64	Stand	60682	2
244.008	0.64	Stand	61002	2
244.648	0.64	Stand	61162	2
245.288	0.64	Inter dev	61322	6
245.928	0.64	Stand	61482	2
246.568	0.64	Stand	61642	2
247.208	0.64	Stand	61802	2
247.848	0.64	Large dev	61962	4
248.488	0.64	Stand	62122	2
249.128	0.64	Stand	62282	2
250.408	0.64	Stand	62602	2
251.048	0.64	Stand	62762	2
251.688	0.64	Stand	62922	2
252.328	0.64	Inter dev	63082	6
252.968	0.64	Stand	63242	2
253.608	0.64	Stand	63402	2
254.248	0.64	Large dev	63562	4
254.888	0.64	Stand	63722	2
255.528	0.64	Stand	63882	2
256.168	0.64	Stand	64042	2
256.808	0.64	Stand	64202	2
258.088	0.64	Stand	64522	2
258.728	0.64	Inter dev	64682	6
259.368	0.64	Stand	64842	2
260.008	0.64	Large dev	65002	4
260.648	0.64	Stand	65162	2
261.288	0.64	Stand	65322	2
261.928	0.64	Stand	65482	2
262.568	0.64	Large dev	65642	4
263.208	0.64	Stand	65802	2
263.848	0.64	Stand	65962	2
264.488	0.64	Inter dev	66122	6
265.128	0.64	Stand	66282	2
265.768	0.64	Stand	66442	2
267.048	0.64	Stand	66762	2
267.688	0.64	Large dev	66922	4
268.328	0.64	Stand	67082	2
268.968	0.64	Stand	67242	2
270.248	0.64	Stand	67562	2
270.888	0.64	Inter dev	67722	6
271.528	0.64	Stand	67882	2
272.168	0.64	Stand	68042	2
273.448	0.64	Stand	68362	2
274.088	0.64	Stand	68522	2
274.728	0.64	Inter dev	68682	6
275.368	0.64	Stand	68842	2
276.008	0.64	Stand	69002	2
276.648	0.64	Stand	69162	2
277.288	0.64	Large dev	69322	4
277.928	0.64	Stand	69482	2
278.568	0.64	Stand	69642	2
279.208	0.64	Large dev	69802	4
279.848	0.64	Stand	69962	2
281.124	0.64	Stand	70281	2
281.768	0.64	Stand	70442	2
282.408	0.64	Inter dev	70602	6
283.048	0.64	Stand	70762	2
283.688	0.64	Stand	70922	2
284.328	0.64	Stand	71082	2
284.968	0.64	Large dev	71242	4
285.608	0.64	Stand	71402	2
286.248	0.64	Stand	71562	2
287.524	0.64	Stand	71881	2
288.164	0.64	Inter dev	72041	6
288.804	0.64	Stand	72201	2
289.448	0.64	Stand	72362	2
290.728	0.64	Stand	72682	2
291.368	0.64	Stand	72842	2
292.008	0.64	Stand	73002	2
292.648	0.64	Stand	73162	2
293.928	0.64	Stand	73482	2
294.564	0.64	Stand	73641	2
295.204	0.64	Stand	73801	2
295.844	0.64	Large dev	73961	4
296.484	0.64	Stand	74121	2
297.128	0.64	Large dev	74282	4
297.768	0.64	Stand	74442	2
298.408	0.64	Stand	74602	2
299.048	0.64	Inter dev	74762	6
299.688	0.64	Stand	74922	2
300.328	0.64	Stand	75082	2
300.968	0.64	Stand	75242	2
302.244	0.64	Stand	75561	2
302.884	0.64	Stand	75721	2
303.524	0.64	Stand	75881	2
304.164	0.64	Stand	76041	2
304.804	0.64	Inter dev	76201	6
305.448	0.64	Stand	76362	2
306.088	0.64	Stand	76522	2
306.728	0.64	Large dev	76682	4
307.368	0.64	Stand	76842	2
308.008	0.64	Stand	77002	2
308.648	0.64	Large dev	77162	4
309.284	0.64	Stand	77321	2
309.924	0.64	Stand	77481	2
310.564	0.64	Stand	77641	2
311.844	0.64	Stand	77961	2
312.484	0.64	Stand	78121	2
313.128	0.64	Large dev	78282	4
313.768	0.64	Stand	78442	2
314.408	0.64	Stand	78602	2
315.048	0.64	Inter dev	78762	6
315.688	0.64	Stand	78922	2
316.328	0.64	Stand	79082	2
316.964	0.64	Stand	79241	2
318.244	0.64	Stand	79561	2
318.884	0.64	Stand	79721	2
319.524	0.64	Stand	79881	2
320.164	0.64	Large dev	80041	4
320.804	0.64	Stand	80201	2
321.448	0.64	Stand	80362	2
322.088	0.64	Stand	80522	2
322.728	0.64	Large dev	80682	4
323.368	0.64	Stand	80842	2
324.004	0.64	Stand	81001	2
325.284	0.64	Stand	81321	2
325.924	0.64	Stand	81481	2
326.564	0.64	Stand	81641	2
327.204	0.64	Large dev	81801	4
327.844	0.64	Stand	81961	2
328.484	0.64	Stand	82121	2
329.128	0.64	Inter dev	82282	6
329.768	0.64	Stand	82442	2
330.408	0.64	Stand	82602	2
331.048	0.64	Stand	82762	2
332.324	0.64	Stand	83081	2
333.604	0.64	Stand	83401	2
334.244	0.64	Stand	83561	2
334.884	0.64	Large dev	83721	4
335.524	0.64	Stand	83881	2
336.164	0.64	Stand	84041	2
336.804	0.64	Stand	84201	2
337.448	0.64	Stand	84362	2
338.724	0.64	Stand	84681	2
339.364	0.64	Stand	84841	2
340.004	0.64	Stand	85001	2
340.644	0.64	Inter dev	85161	6
341.284	0.64	Stand	85321	2
341.924	0.64	Stand	85481	2
342.564	0.64	Stand	85641	2
343.204	0.64	Large dev	85801	4
343.844	0.64	Stand	85961	2
344.484	0.64	Stand	86121	2
345.128	0.64	Inter dev	86282	6
345.764	0.64	Stand	86441	2
346.404	0.64	Stand	86601	2
347.684	0.64	Stand	86921	2
348.324	0.64	Large dev	87081	4
348.964	0.64	Stand	87241	2
349.604	0.64	Stand	87401	2
350.244	0.64	Stand	87561	2
350.884	0.64	Inter dev	87721	6
351.524	0.64	Stand	87881	2
352.164	0.64	Stand	88041	2
353.444	0.64	Stand	88361	2
354.084	0.64	Stand	88521	2
354.724	0.64	Inter dev	88681	6
355.364	0.64	Stand	88841	2
356.644	0.64	Stand	89161	2
357.284	0.64	Stand	89321	2
357.924	0.64	Stand	89481	2
358.564	0.64	Stand	89641	2
359.204	0.64	Large dev	89801	4
359.844	0.64	Stand	89961	2
