onset	duration	trial_type	sample	value
3.34	0.64	Stand	835	2
3.98	0.64	Stand	995	2
4.62	0.64	Stand	1155	2
5.26	0.64	Stand	1315	2
5.9	0.64	Stand	1475	2
6.54	0.64	Stand	1635	2
7.18	0.64	Stand	1795	2
7.82	0.64	Stand	1955	2
8.46	0.64	Stand	2115	2
9.1	0.64	Stand	2275	2
9.74	0.64	Stand	2435	2
10.38	0.64	Stand	2595	2
11.02	0.64	Stand	2755	2
11.66	0.64	Stand	2915	2
12.3	0.64	Stand	3075	2
12.94	0.64	Large dev	3235	4
13.58	0.64	Stand	3395	2
14.22	0.64	Stand	3555	2
14.86	0.64	Inter dev	3715	6
15.5	0.64	Stand	3875	2
16.14	0.64	Stand	4035	2
17.42	0.64	Stand	4355	2
18.06	0.64	Stand	4515	2
18.7	0.64	Stand	4675	2
19.34	0.64	Stand	4835	2
20.62	0.64	Stand	5155	2
21.26	0.64	Large dev	5315	4
21.9	0.64	Stand	5475	2
22.54	0.64	Stand	5635	2
23.18	0.64	Large dev	5795	4
23.82	0.64	Stand	5955	2
24.46	0.64	Inter dev	6115	6
25.1	0.64	Stand	6275	2
25.74	0.64	Stand	6435	2
26.38	0.64	Stand	6595	2
27.02	0.64	Stand	6755	2
27.66	0.64	Large dev	6915	4
28.3	0.64	Stand	7075	2
28.94	0.64	Stand	7235	2
29.58	0.64	Inter dev	7395	6
30.22	0.64	Stand	7555	2
30.86	0.64	Stand	7715	2
31.5	0.64	Stand	7875	2
32.14	0.64	Inter dev	8035	6
32.78	0.64	Stand	8195	2
34.06	0.64	Stand	8515	2
34.7	0.64	Stand	8675	2
35.34	0.64	Large dev	8835	4
35.98	0.64	Stand	8995	2
36.62	0.64	Stand	9155	2
37.26	0.64	Stand	9315	2
37.9	0.64	Inter dev	9475	6
38.54	0.64	Stand	9635	2
39.18	0.64	Stand	9795	2
40.46	0.64	Stand	10115	2
41.1	0.64	Stand	10275	2
41.74	0.64	Stand	10435	2
42.38	0.64	Inter dev	10595	6
43.02	0.64	Stand	10755	2
43.66	0.64	Stand	10915	2
44.3	0.64	Stand	11075	2
44.94	0.64	Stand	11235	2
46.22	0.64	Stand	11555	2
46.86	0.64	Stand	11715	2
47.5	0.64	Inter dev	11875	6
48.14	0.64	Stand	12035	2
48.78	0.64	Large dev	12195	4
49.42	0.64	Stand	12355	2
50.06	0.64	Stand	12515	2
51.34	0.64	Stand	12835	2
51.98	0.64	Stand	12995	2
52.62	0.64	Stand	13155	2
53.26	0.64	Inter dev	13315	6
53.9	0.64	Stand	13475	2
54.54	0.64	Stand	13635	2
55.18	0.64	Stand	13795	2
55.82	0.64	Large dev	13955	4
56.46	0.64	Stand	14115	2
57.1	0.64	Stand	14275	2
57.74	0.64	Inter dev	14435	6
