onset	duration	trial_type	sample	value
9.944	0.64	Stand	2486	2
10.584	0.64	Stand	2646	2
11.224	0.64	Stand	2806	2
11.864	0.64	Stand	2966	2
12.504	0.64	Stand	3126	2
13.144	0.64	Stand	3286	2
13.784	0.64	Stand	3446	2
14.424	0.64	Stand	3606	2
15.064	0.64	Stand	3766	2
15.704	0.64	Stand	3926	2
16.344	0.64	Stand	4086	2
16.984	0.64	Stand	4246	2
17.624	0.64	Stand	4406	2
18.264	0.64	Stand	4566	2
18.904	0.64	Stand	4726	2
19.544	0.64	Large dev	4886	4
20.184	0.64	Stand	5046	2
20.824	0.64	Stand	5206	2
21.464	0.64	Inter dev	5366	6
22.104	0.64	Stand	5526	2
22.744	0.64	Stand	5686	2
24.024	0.64	Stand	6006	2
24.664	0.64	Stand	6166	2
25.304	0.64	Stand	6326	2
25.944	0.64	Stand	6486	2
27.224	0.64	Stand	6806	2
27.864	0.64	Large dev	6966	4
28.504	0.64	Stand	7126	2
29.144	0.64	Stand	7286	2
29.784	0.64	Large dev	7446	4
30.424	0.64	Stand	7606	2
31.064	0.64	Inter dev	7766	6
31.704	0.64	Stand	7926	2
32.344	0.64	Stand	8086	2
32.984	0.64	Stand	8246	2
33.624	0.64	Stand	8406	2
34.264	0.64	Large dev	8566	4
34.904	0.64	Stand	8726	2
35.544	0.64	Stand	8886	2
36.184	0.64	Inter dev	9046	6
36.824	0.64	Stand	9206	2
37.464	0.64	Stand	9366	2
38.104	0.64	Stand	9526	2
38.744	0.64	Inter dev	9686	6
39.384	0.64	Stand	9846	2
40.664	0.64	Stand	10166	2
41.304	0.64	Stand	10326	2
41.944	0.64	Large dev	10486	4
42.584	0.64	Stand	10646	2
43.224	0.64	Stand	10806	2
43.864	0.64	Stand	10966	2
44.504	0.64	Inter dev	11126	6
45.144	0.64	Stand	11286	2
45.784	0.64	Stand	11446	2
47.064	0.64	Stand	11766	2
47.704	0.64	Stand	11926	2
48.344	0.64	Stand	12086	2
48.984	0.64	Inter dev	12246	6
49.624	0.64	Stand	12406	2
50.264	0.64	Stand	12566	2
50.904	0.64	Stand	12726	2
51.544	0.64	Stand	12886	2
52.824	0.64	Stand	13206	2
53.464	0.64	Stand	13366	2
54.104	0.64	Inter dev	13526	6
54.744	0.64	Stand	13686	2
55.384	0.64	Large dev	13846	4
56.024	0.64	Stand	14006	2
56.664	0.64	Stand	14166	2
57.944	0.64	Stand	14486	2
58.584	0.64	Stand	14646	2
59.224	0.64	Stand	14806	2
59.864	0.64	Inter dev	14966	6
60.504	0.64	Stand	15126	2
61.144	0.64	Stand	15286	2
61.784	0.64	Stand	15446	2
62.424	0.64	Large dev	15606	4
63.064	0.64	Stand	15766	2
63.704	0.64	Stand	15926	2
64.344	0.64	Inter dev	16086	6
64.984	0.64	Stand	16246	2
65.624	0.64	Stand	16406	2
66.264	0.64	Stand	16566	2
67.544	0.64	Stand	16886	2
68.184	0.64	Large dev	17046	4
68.824	0.64	Stand	17206	2
69.464	0.64	Stand	17366	2
70.104	0.64	Inter dev	17526	6
70.744	0.64	Stand	17686	2
71.384	0.64	Stand	17846	2
72.664	0.64	Stand	18166	2
73.304	0.64	Stand	18326	2
73.944	0.64	Stand	18486	2
74.584	0.64	Stand	18646	2
75.224	0.64	Large dev	18806	4
75.864	0.64	Stand	18966	2
77.144	0.64	Stand	19286	2
77.784	0.64	Stand	19446	2
78.424	0.64	Inter dev	19606	6
79.064	0.64	Stand	19766	2
79.704	0.64	Stand	19926	2
80.344	0.64	Stand	20086	2
80.984	0.64	Stand	20246	2
81.624	0.64	Inter dev	20406	6
82.264	0.64	Stand	20566	2
