onset	duration	trial_type	sample	value
56.808	0.64	Stand	14202	2
57.648	0.64	Stand	14412	2
58.488	0.64	Stand	14622	2
59.328	0.64	Stand	14832	2
60.168	0.64	Stand	15042	2
61.008	0.64	Stand	15252	2
61.848	0.64	Stand	15462	2
62.688	0.64	Stand	15672	2
63.528	0.64	Stand	15882	2
64.368	0.64	Stand	16092	2
65.208	0.64	Stand	16302	2
66.048	0.64	Stand	16512	2
66.888	0.64	Stand	16722	2
67.728	0.64	Stand	16932	2
68.568	0.64	Stand	17142	2
69.408	0.64	Large dev	17352	4
70.248	0.64	Stand	17562	2
71.088	0.64	Stand	17772	2
71.928	0.64	Inter dev	17982	6
72.768	0.64	Stand	18192	2
73.608	0.64	Stand	18402	2
75.288	0.64	Stand	18822	2
76.128	0.64	Stand	19032	2
76.968	0.64	Stand	19242	2
77.808	0.64	Stand	19452	2
79.488	0.64	Stand	19872	2
80.328	0.64	Large dev	20082	4
81.168	0.64	Stand	20292	2
82.008	0.64	Stand	20502	2
82.848	0.64	Large dev	20712	4
83.688	0.64	Stand	20922	2
84.528	0.64	Inter dev	21132	6
85.368	0.64	Stand	21342	2
86.208	0.64	Stand	21552	2
87.048	0.64	Stand	21762	2
87.888	0.64	Stand	21972	2
88.728	0.64	Large dev	22182	4
89.568	0.64	Stand	22392	2
90.408	0.64	Stand	22602	2
91.248	0.64	Inter dev	22812	6
92.088	0.64	Stand	23022	2
92.928	0.64	Stand	23232	2
93.768	0.64	Stand	23442	2
94.608	0.64	Inter dev	23652	6
95.448	0.64	Stand	23862	2
97.128	0.64	Stand	24282	2
97.968	0.64	Stand	24492	2
98.808	0.64	Large dev	24702	4
99.648	0.64	Stand	24912	2
100.488	0.64	Stand	25122	2
101.328	0.64	Stand	25332	2
102.168	0.64	Inter dev	25542	6
103.008	0.64	Stand	25752	2
103.848	0.64	Stand	25962	2
105.528	0.64	Stand	26382	2
106.368	0.64	Stand	26592	2
107.208	0.64	Stand	26802	2
108.048	0.64	Inter dev	27012	6
108.888	0.64	Stand	27222	2
109.728	0.64	Stand	27432	2
110.568	0.64	Stand	27642	2
111.408	0.64	Stand	27852	2
113.088	0.64	Stand	28272	2
113.928	0.64	Stand	28482	2
114.768	0.64	Inter dev	28692	6
115.608	0.64	Stand	28902	2
116.448	0.64	Large dev	29112	4
117.288	0.64	Stand	29322	2
118.128	0.64	Stand	29532	2
119.808	0.64	Stand	29952	2
120.648	0.64	Stand	30162	2
121.488	0.64	Stand	30372	2
122.328	0.64	Inter dev	30582	6
123.168	0.64	Stand	30792	2
124.008	0.64	Stand	31002	2
124.848	0.64	Stand	31212	2
125.688	0.64	Large dev	31422	4
126.528	0.64	Stand	31632	2
127.368	0.64	Stand	31842	2
128.208	0.64	Inter dev	32052	6
129.048	0.64	Stand	32262	2
129.888	0.64	Stand	32472	2
130.728	0.64	Stand	32682	2
132.408	0.64	Stand	33102	2
133.248	0.64	Large dev	33312	4
134.088	0.64	Stand	33522	2
134.928	0.64	Stand	33732	2
135.768	0.64	Inter dev	33942	6
136.608	0.64	Stand	34152	2
137.448	0.64	Stand	34362	2
139.128	0.64	Stand	34782	2
139.968	0.64	Stand	34992	2
140.808	0.64	Stand	35202	2
141.648	0.64	Stand	35412	2
142.488	0.64	Large dev	35622	4
143.328	0.64	Stand	35832	2
145.008	0.64	Stand	36252	2
145.848	0.64	Stand	36462	2
146.688	0.64	Inter dev	36672	6
147.528	0.64	Stand	36882	2
148.368	0.64	Stand	37092	2
149.208	0.64	Stand	37302	2
150.048	0.64	Stand	37512	2
150.888	0.64	Inter dev	37722	6
151.728	0.64	Stand	37932	2
152.568	0.64	Stand	38142	2
153.408	0.64	Inter dev	38352	6
154.248	0.64	Stand	38562	2
155.088	0.64	Stand	38772	2
155.928	0.64	Stand	38982	2
157.608	0.64	Stand	39402	2
158.448	0.64	Stand	39612	2
159.288	0.64	Inter dev	39822	6
160.128	0.64	Stand	40032	2
160.968	0.64	Stand	40242	2
161.808	0.64	Large dev	40452	4
162.648	0.64	Stand	40662	2
163.488	0.64	Stand	40872	2
165.168	0.64	Stand	41292	2
166.008	0.64	Inter dev	41502	6
166.848	0.64	Stand	41712	2
168.528	0.64	Stand	42132	2
169.368	0.64	Inter dev	42342	6
170.208	0.64	Stand	42552	2
171.048	0.64	Stand	42762	2
171.888	0.64	Stand	42972	2
173.568	0.64	Stand	43392	2
174.408	0.64	Inter dev	43602	6
175.248	0.64	Stand	43812	2
176.088	0.64	Stand	44022	2
176.928	0.64	Stand	44232	2
177.768	0.64	Large dev	44442	4
178.608	0.64	Stand	44652	2
179.448	0.64	Stand	44862	2
180.288	0.64	Stand	45072	2
181.968	0.64	Stand	45492	2
182.808	0.64	Large dev	45702	4
183.648	0.64	Stand	45912	2
184.488	0.64	Stand	46122	2
185.328	0.64	Stand	46332	2
186.168	0.64	Inter dev	46542	6
187.008	0.64	Stand	46752	2
187.848	0.64	Stand	46962	2
188.688	0.64	Large dev	47172	4
189.528	0.64	Stand	47382	2
190.368	0.64	Stand	47592	2
191.208	0.64	Stand	47802	2
192.048	0.64	Large dev	48012	4
192.888	0.64	Stand	48222	2
193.728	0.64	Stand	48432	2
194.568	0.64	Inter dev	48642	6
195.408	0.64	Stand	48852	2
196.248	0.64	Stand	49062	2
197.088	0.64	Stand	49272	2
197.928	0.64	Stand	49482	2
198.768	0.64	Large dev	49692	4
199.608	0.64	Stand	49902	2
200.448	0.64	Stand	50112	2
202.128	0.64	Stand	50532	2
202.968	0.64	Stand	50742	2
203.808	0.64	Inter dev	50952	6
204.648	0.64	Stand	51162	2
205.488	0.64	Large dev	51372	4
206.328	0.64	Stand	51582	2
207.168	0.64	Stand	51792	2
208.848	0.64	Stand	52212	2
209.688	0.64	Inter dev	52422	6
210.528	0.64	Stand	52632	2
211.368	0.64	Stand	52842	2
212.208	0.64	Large dev	53052	4
213.048	0.64	Stand	53262	2
213.888	0.64	Stand	53472	2
214.728	0.64	Stand	53682	2
215.568	0.64	Stand	53892	2
216.408	0.64	Large dev	54102	4
217.248	0.64	Stand	54312	2
218.088	0.64	Stand	54522	2
218.928	0.64	Stand	54732	2
219.768	0.64	Inter dev	54942	6
220.608	0.64	Stand	55152	2
222.288	0.64	Stand	55572	2
223.128	0.64	Stand	55782	2
223.968	0.64	Large dev	55992	4
224.808	0.64	Stand	56202	2
225.648	0.64	Stand	56412	2
226.488	0.64	Stand	56622	2
227.328	0.64	Stand	56832	2
228.168	0.64	Large dev	57042	4
229.008	0.64	Stand	57252	2
229.848	0.64	Stand	57462	2
230.688	0.64	Stand	57672	2
231.528	0.64	Stand	57882	2
232.368	0.64	Inter dev	58092	6
233.208	0.64	Stand	58302	2
234.048	0.64	Stand	58512	2
234.888	0.64	Stand	58722	2
235.728	0.64	Large dev	58932	4
236.568	0.64	Stand	59142	2
237.408	0.64	Stand	59352	2
239.088	0.64	Stand	59772	2
239.928	0.64	Stand	59982	2
240.768	0.64	Stand	60192	2
241.608	0.64	Stand	60402	2
242.448	0.64	Large dev	60612	4
243.288	0.64	Stand	60822	2
244.128	0.64	Stand	61032	2
244.968	0.64	Stand	61242	2
245.808	0.64	Stand	61452	2
247.488	0.64	Stand	61872	2
248.328	0.64	Stand	62082	2
249.168	0.64	Stand	62292	2
250.008	0.64	Inter dev	62502	6
250.848	0.64	Stand	62712	2
251.688	0.64	Stand	62922	2
252.528	0.64	Stand	63132	2
253.368	0.64	Stand	63342	2
254.208	0.64	Inter dev	63552	6
255.048	0.64	Stand	63762	2
255.888	0.64	Stand	63972	2
256.728	0.64	Stand	64182	2
258.408	0.64	Stand	64602	2
259.248	0.64	Stand	64812	2
260.088	0.64	Large dev	65022	4
260.928	0.64	Stand	65232	2
261.768	0.64	Inter dev	65442	6
262.608	0.64	Stand	65652	2
263.448	0.64	Stand	65862	2
264.288	0.64	Stand	66072	2
265.128	0.64	Stand	66282	2
265.968	0.64	Large dev	66492	4
266.808	0.64	Stand	66702	2
267.648	0.64	Stand	66912	2
268.488	0.64	Stand	67122	2
270.168	0.64	Stand	67542	2
271.008	0.64	Inter dev	67752	6
271.848	0.64	Stand	67962	2
272.688	0.64	Stand	68172	2
274.368	0.64	Stand	68592	2
275.208	0.64	Stand	68802	2
276.048	0.64	Stand	69012	2
276.888	0.64	Stand	69222	2
277.728	0.64	Large dev	69432	4
278.568	0.64	Stand	69642	2
279.408	0.64	Stand	69852	2
280.248	0.64	Stand	70062	2
281.088	0.64	Inter dev	70272	6
281.928	0.64	Stand	70482	2
282.768	0.64	Stand	70692	2
283.608	0.64	Stand	70902	2
285.288	0.64	Stand	71322	2
286.128	0.64	Stand	71532	2
286.968	0.64	Large dev	71742	4
287.808	0.64	Stand	71952	2
288.648	0.64	Inter dev	72162	6
289.488	0.64	Stand	72372	2
290.328	0.64	Stand	72582	2
291.168	0.64	Stand	72792	2
292.848	0.64	Stand	73212	2
293.688	0.64	Stand	73422	2
294.528	0.64	Large dev	73632	4
295.368	0.64	Stand	73842	2
296.208	0.64	Stand	74052	2
