onset	duration	trial_type	sample	value
7.552	0.64	na	1888	254
8.224	0.64	Stand	2056	2
8.864	0.64	Stand	2216	2
9.504	0.64	Stand	2376	2
10.144	0.64	Stand	2536	2
10.784	0.64	Stand	2696	2
11.424	0.64	Stand	2856	2
12.064	0.64	Stand	3016	2
12.704	0.64	Stand	3176	2
13.344	0.64	Stand	3336	2
13.984	0.64	Stand	3496	2
14.624	0.64	Stand	3656	2
15.264	0.64	Stand	3816	2
15.904	0.64	Stand	3976	2
16.544	0.64	Stand	4136	2
17.184	0.64	Large dev	4296	4
17.824	0.64	Stand	4456	2
18.464	0.64	Stand	4616	2
19.104	0.64	Inter dev	4776	6
19.744	0.64	Stand	4936	2
20.384	0.64	Stand	5096	2
21.024	0.64	na	5256	8
21.664	0.64	Stand	5416	2
22.304	0.64	Stand	5576	2
22.944	0.64	Stand	5736	2
23.584	0.64	Stand	5896	2
24.224	0.64	na	6056	8
24.864	0.64	Stand	6216	2
25.504	0.64	Large dev	6376	4
26.144	0.64	Stand	6536	2
26.784	0.64	Stand	6696	2
27.424	0.64	Large dev	6856	4
28.064	0.64	Stand	7016	2
28.704	0.64	Inter dev	7176	6
29.344	0.64	Stand	7336	2
29.984	0.64	Stand	7496	2
30.624	0.64	Stand	7656	2
31.264	0.64	Stand	7816	2
31.904	0.64	Large dev	7976	4
32.544	0.64	Stand	8136	2
33.184	0.64	Stand	8296	2
33.824	0.64	Inter dev	8456	6
34.464	0.64	Stand	8616	2
35.104	0.64	Stand	8776	2
35.744	0.64	Stand	8936	2
36.384	0.64	Inter dev	9096	6
37.024	0.64	Stand	9256	2
37.664	0.64	na	9416	8
38.304	0.64	Stand	9576	2
38.944	0.64	Stand	9736	2
39.584	0.64	Large dev	9896	4
40.224	0.64	Stand	10056	2
40.864	0.64	Stand	10216	2
41.504	0.64	Stand	10376	2
42.144	0.64	Inter dev	10536	6
42.784	0.64	Stand	10696	2
43.424	0.64	Stand	10856	2
44.064	0.64	na	11016	8
44.704	0.64	Stand	11176	2
45.344	0.64	Stand	11336	2
45.984	0.64	Stand	11496	2
46.624	0.64	Inter dev	11656	6
47.264	0.64	Stand	11816	2
47.904	0.64	Stand	11976	2
48.544	0.64	Stand	12136	2
49.184	0.64	Stand	12296	2
49.824	0.64	na	12456	8
50.464	0.64	Stand	12616	2
51.104	0.64	Stand	12776	2
51.744	0.64	Inter dev	12936	6
52.384	0.64	Stand	13096	2
53.024	0.64	Large dev	13256	4
53.664	0.64	Stand	13416	2
54.304	0.64	Stand	13576	2
54.944	0.64	na	13736	8
55.584	0.64	Stand	13896	2
56.224	0.64	Stand	14056	2
56.864	0.64	Stand	14216	2
57.504	0.64	Inter dev	14376	6
58.144	0.64	Stand	14536	2
58.784	0.64	Stand	14696	2
59.424	0.64	Stand	14856	2
60.064	0.64	Large dev	15016	4
60.704	0.64	Stand	15176	2
61.344	0.64	Stand	15336	2
61.984	0.64	Inter dev	15496	6
62.624	0.64	Stand	15656	2
63.264	0.64	Stand	15816	2
63.904	0.64	Stand	15976	2
64.544	0.64	na	16136	8
65.184	0.64	Stand	16296	2
65.824	0.64	Large dev	16456	4
66.464	0.64	Stand	16616	2
67.104	0.64	Stand	16776	2
67.744	0.64	Inter dev	16936	6
68.384	0.64	Stand	17096	2
69.024	0.64	Stand	17256	2
69.664	0.64	na	17416	8
70.304	0.64	Stand	17576	2
70.944	0.64	Stand	17736	2
71.584	0.64	Stand	17896	2
72.224	0.64	Stand	18056	2
72.864	0.64	Large dev	18216	4
73.504	0.64	Stand	18376	2
74.144	0.64	na	18536	8
74.784	0.64	Stand	18696	2
75.424	0.64	Stand	18856	2
76.064	0.64	Inter dev	19016	6
76.704	0.64	Stand	19176	2
77.344	0.64	Stand	19336	2
77.984	0.64	Stand	19496	2
78.624	0.64	Stand	19656	2
79.264	0.64	Inter dev	19816	6
79.904	0.64	Stand	19976	2
80.544	0.64	Stand	20136	2
81.184	0.64	Inter dev	20296	6
81.824	0.64	Stand	20456	2
82.464	0.64	Stand	20616	2
83.104	0.64	Stand	20776	2
83.744	0.64	na	20936	8
84.384	0.64	Stand	21096	2
85.024	0.64	Stand	21256	2
85.664	0.64	Inter dev	21416	6
86.304	0.64	Stand	21576	2
86.944	0.64	Stand	21736	2
87.584	0.64	Large dev	21896	4
88.224	0.64	Stand	22056	2
88.864	0.64	Stand	22216	2
89.504	0.64	na	22376	8
90.144	0.64	Stand	22536	2
90.784	0.64	Inter dev	22696	6
91.424	0.64	Stand	22856	2
92.064	0.64	na	23016	8
92.704	0.64	Stand	23176	2
93.344	0.64	Inter dev	23336	6
93.984	0.64	Stand	23496	2
94.624	0.64	Stand	23656	2
95.264	0.64	Stand	23816	2
95.904	0.64	na	23976	8
96.544	0.64	Stand	24136	2
97.184	0.64	Inter dev	24296	6
97.824	0.64	Stand	24456	2
98.464	0.64	Stand	24616	2
99.104	0.64	Stand	24776	2
99.744	0.64	Large dev	24936	4
100.384	0.64	Stand	25096	2
101.024	0.64	Stand	25256	2
101.664	0.64	Stand	25416	2
102.304	0.64	na	25576	8
102.944	0.64	Stand	25736	2
103.584	0.64	Large dev	25896	4
104.224	0.64	Stand	26056	2
104.864	0.64	Stand	26216	2
105.504	0.64	Stand	26376	2
106.144	0.64	Inter dev	26536	6
106.784	0.64	Stand	26696	2
107.424	0.64	Stand	26856	2
108.064	0.64	Large dev	27016	4
108.704	0.64	Stand	27176	2
109.344	0.64	Stand	27336	2
109.984	0.64	Stand	27496	2
110.624	0.64	Large dev	27656	4
111.264	0.64	Stand	27816	2
111.904	0.64	Stand	27976	2
112.544	0.64	Inter dev	28136	6
113.184	0.64	Stand	28296	2
113.824	0.64	Stand	28456	2
114.464	0.64	Stand	28616	2
115.104	0.64	Stand	28776	2
115.744	0.64	Large dev	28936	4
116.384	0.64	Stand	29096	2
117.024	0.64	Stand	29256	2
117.664	0.64	na	29416	8
118.304	0.64	Stand	29576	2
118.944	0.64	Stand	29736	2
119.584	0.64	Inter dev	29896	6
120.224	0.64	Stand	30056	2
120.864	0.64	Large dev	30216	4
121.504	0.64	Stand	30376	2
122.144	0.64	Stand	30536	2
122.784	0.64	na	30696	8
123.424	0.64	Stand	30856	2
124.064	0.64	Inter dev	31016	6
124.704	0.64	Stand	31176	2
125.344	0.64	Stand	31336	2
125.984	0.64	Large dev	31496	4
126.624	0.64	Stand	31656	2
127.264	0.64	Stand	31816	2
127.904	0.64	Stand	31976	2
128.544	0.64	Stand	32136	2
129.184	0.64	Large dev	32296	4
129.824	0.64	Stand	32456	2
130.464	0.64	Stand	32616	2
131.104	0.64	Stand	32776	2
131.744	0.64	Inter dev	32936	6
132.384	0.64	Stand	33096	2
133.024	0.64	na	33256	8
133.664	0.64	Stand	33416	2
134.304	0.64	Stand	33576	2
134.944	0.64	Large dev	33736	4
135.584	0.64	Stand	33896	2
136.224	0.64	Stand	34056	2
136.864	0.64	Stand	34216	2
137.504	0.64	Stand	34376	2
138.144	0.64	Large dev	34536	4
138.784	0.64	Stand	34696	2
139.424	0.64	Stand	34856	2
140.064	0.64	Stand	35016	2
140.704	0.64	Stand	35176	2
141.344	0.64	Inter dev	35336	6
141.984	0.64	Stand	35496	2
142.624	0.64	Stand	35656	2
143.264	0.64	Stand	35816	2
143.904	0.64	Large dev	35976	4
144.544	0.64	Stand	36136	2
145.184	0.64	Stand	36296	2
145.824	0.64	na	36456	8
146.464	0.64	Stand	36616	2
147.104	0.64	Stand	36776	2
147.744	0.64	Stand	36936	2
148.384	0.64	Stand	37096	2
149.024	0.64	Large dev	37256	4
149.664	0.64	Stand	37416	2
150.304	0.64	Stand	37576	2
150.944	0.64	Stand	37736	2
151.584	0.64	Stand	37896	2
152.224	0.64	na	38056	8
152.864	0.64	Stand	38216	2
153.504	0.64	Stand	38376	2
154.144	0.64	Stand	38536	2
154.784	0.64	Inter dev	38696	6
155.424	0.64	Stand	38856	2
156.064	0.64	Stand	39016	2
156.704	0.64	Stand	39176	2
157.344	0.64	Stand	39336	2
157.984	0.64	Inter dev	39496	6
158.624	0.64	Stand	39656	2
159.264	0.64	Stand	39816	2
159.904	0.64	Stand	39976	2
160.544	0.64	na	40136	8
161.184	0.64	Stand	40296	2
161.824	0.64	Stand	40456	2
162.464	0.64	Large dev	40616	4
163.104	0.64	Stand	40776	2
163.744	0.64	Inter dev	40936	6
164.384	0.64	Stand	41096	2
165.024	0.64	Stand	41256	2
165.664	0.64	Stand	41416	2
166.304	0.64	Stand	41576	2
166.944	0.64	Large dev	41736	4
167.584	0.64	Stand	41896	2
168.224	0.64	Stand	42056	2
168.864	0.64	Stand	42216	2
169.504	0.64	na	42376	8
170.144	0.64	Stand	42536	2
170.784	0.64	Inter dev	42696	6
171.424	0.64	Stand	42856	2
172.064	0.64	Stand	43016	2
172.704	0.64	na	43176	8
173.344	0.64	Stand	43336	2
173.984	0.64	Stand	43496	2
174.624	0.64	Stand	43656	2
175.264	0.64	Stand	43816	2
175.904	0.64	Large dev	43976	4
176.544	0.64	Stand	44136	2
177.184	0.64	Stand	44296	2
177.824	0.64	Stand	44456	2
178.464	0.64	Inter dev	44616	6
179.104	0.64	Stand	44776	2
179.744	0.64	Stand	44936	2
180.384	0.64	Stand	45096	2
181.024	0.64	na	45256	8
181.664	0.64	Stand	45416	2
182.304	0.64	Stand	45576	2
182.944	0.64	Large dev	45736	4
183.584	0.64	Stand	45896	2
184.224	0.64	Inter dev	46056	6
184.864	0.64	Stand	46216	2
185.504	0.64	Stand	46376	2
186.144	0.64	Stand	46536	2
186.784	0.64	na	46696	8
187.424	0.64	Stand	46856	2
188.064	0.64	Stand	47016	2
188.704	0.64	Large dev	47176	4
189.344	0.64	Stand	47336	2
189.984	0.64	Stand	47496	2
190.624	0.64	Stand	47656	2
191.264	0.64	Inter dev	47816	6
191.904	0.64	Stand	47976	2
192.544	0.64	Large dev	48136	4
193.184	0.64	Stand	48296	2
193.824	0.64	Stand	48456	2
194.464	0.64	Stand	48616	2
195.104	0.64	Stand	48776	2
195.744	0.64	Large dev	48936	4
196.384	0.64	Stand	49096	2
197.024	0.64	Stand	49256	2
197.664	0.64	Inter dev	49416	6
