onset	duration	trial_type	sample	value
11.792	0.64	Stand	2948	2
12.432	0.64	Stand	3108	2
13.072	0.64	Stand	3268	2
13.712	0.64	Stand	3428	2
14.352	0.64	Stand	3588	2
14.992	0.64	Stand	3748	2
15.632	0.64	Stand	3908	2
16.272	0.64	Stand	4068	2
16.912	0.64	Stand	4228	2
17.552	0.64	Stand	4388	2
18.192	0.64	Stand	4548	2
18.832	0.64	Stand	4708	2
19.472	0.64	Stand	4868	2
20.112	0.64	Stand	5028	2
20.752	0.64	Stand	5188	2
21.392	0.64	Large dev	5348	4
22.032	0.64	Stand	5508	2
22.672	0.64	Stand	5668	2
23.312	0.64	Inter dev	5828	6
23.952	0.64	Stand	5988	2
24.592	0.64	Stand	6148	2
25.872	0.64	Stand	6468	2
26.512	0.64	Stand	6628	2
27.152	0.64	Stand	6788	2
27.792	0.64	Stand	6948	2
29.072	0.64	Stand	7268	2
29.712	0.64	Large dev	7428	4
30.352	0.64	Stand	7588	2
30.992	0.64	Stand	7748	2
31.632	0.64	Large dev	7908	4
32.272	0.64	Stand	8068	2
32.912	0.64	Inter dev	8228	6
33.552	0.64	Stand	8388	2
34.192	0.64	Stand	8548	2
34.832	0.64	Stand	8708	2
35.472	0.64	Stand	8868	2
36.112	0.64	Large dev	9028	4
36.752	0.64	Stand	9188	2
37.392	0.64	Stand	9348	2
38.032	0.64	Inter dev	9508	6
38.672	0.64	Stand	9668	2
39.312	0.64	Stand	9828	2
39.952	0.64	Stand	9988	2
40.592	0.64	Inter dev	10148	6
41.232	0.64	Stand	10308	2
42.512	0.64	Stand	10628	2
43.152	0.64	Stand	10788	2
43.792	0.64	Large dev	10948	4
44.432	0.64	Stand	11108	2
45.072	0.64	Stand	11268	2
45.712	0.64	Stand	11428	2
46.352	0.64	Inter dev	11588	6
46.992	0.64	Stand	11748	2
47.632	0.64	Stand	11908	2
48.912	0.64	Stand	12228	2
49.552	0.64	Stand	12388	2
50.192	0.64	Stand	12548	2
50.832	0.64	Inter dev	12708	6
51.472	0.64	Stand	12868	2
52.112	0.64	Stand	13028	2
52.752	0.64	Stand	13188	2
53.392	0.64	Stand	13348	2
54.672	0.64	Stand	13668	2
55.312	0.64	Stand	13828	2
55.952	0.64	Inter dev	13988	6
56.592	0.64	Stand	14148	2
57.232	0.64	Large dev	14308	4
57.872	0.64	Stand	14468	2
58.512	0.64	Stand	14628	2
59.792	0.64	Stand	14948	2
60.432	0.64	Stand	15108	2
61.072	0.64	Stand	15268	2
61.712	0.64	Inter dev	15428	6
62.352	0.64	Stand	15588	2
62.992	0.64	Stand	15748	2
63.632	0.64	Stand	15908	2
64.272	0.64	Large dev	16068	4
64.912	0.64	Stand	16228	2
65.552	0.64	Stand	16388	2
66.192	0.64	Inter dev	16548	6
66.832	0.64	Stand	16708	2
67.472	0.64	Stand	16868	2
68.112	0.64	Stand	17028	2
69.392	0.64	Stand	17348	2
70.032	0.64	Large dev	17508	4
70.672	0.64	Stand	17668	2
71.312	0.64	Stand	17828	2
71.952	0.64	Inter dev	17988	6
72.592	0.64	Stand	18148	2
73.232	0.64	Stand	18308	2
74.512	0.64	Stand	18628	2
75.152	0.64	Stand	18788	2
75.792	0.64	Stand	18948	2
76.432	0.64	Stand	19108	2
77.072	0.64	Large dev	19268	4
77.712	0.64	Stand	19428	2
78.992	0.64	Stand	19748	2
79.632	0.64	Stand	19908	2
80.272	0.64	Inter dev	20068	6
80.912	0.64	Stand	20228	2
81.552	0.64	Stand	20388	2
82.192	0.64	Stand	20548	2
82.832	0.64	Stand	20708	2
83.472	0.64	Inter dev	20868	6
84.112	0.64	Stand	21028	2
84.752	0.64	Stand	21188	2
85.392	0.64	Inter dev	21348	6
86.032	0.64	Stand	21508	2
86.672	0.64	Stand	21668	2
87.312	0.64	Stand	21828	2
88.592	0.64	Stand	22148	2
89.232	0.64	Stand	22308	2
89.872	0.64	Inter dev	22468	6
90.512	0.64	Stand	22628	2
91.152	0.64	Stand	22788	2
91.792	0.64	Large dev	22948	4
92.432	0.64	Stand	23108	2
93.072	0.64	Stand	23268	2
94.352	0.64	Stand	23588	2
94.992	0.64	Inter dev	23748	6
95.632	0.64	Stand	23908	2
96.912	0.64	Stand	24228	2
97.552	0.64	Inter dev	24388	6
98.192	0.64	Stand	24548	2
98.832	0.64	Stand	24708	2
99.472	0.64	Stand	24868	2
100.752	0.64	Stand	25188	2
101.392	0.64	Inter dev	25348	6
102.032	0.64	Stand	25508	2
