onset	duration	trial_type	sample	value
76.52	0.64	Stand	19130	2
77.148	0.64	Stand	19287	2
77.78	0.64	Stand	19445	2
78.408	0.64	Stand	19602	2
79.048	0.64	Stand	19762	2
79.688	0.64	Stand	19922	2
80.32	0.64	Stand	20080	2
80.948	0.64	Stand	20237	2
81.58	0.64	Stand	20395	2
82.208	0.64	Stand	20552	2
82.84	0.64	Stand	20710	2
83.468	0.64	Stand	20867	2
84.1	0.64	Stand	21025	2
84.728	0.64	Stand	21182	2
85.36	0.64	Large dev	21340	4
86.0	0.64	Stand	21500	2
86.64	0.64	Stand	21660	2
87.268	0.64	Inter dev	21817	6
87.9	0.64	Stand	21975	2
88.528	0.64	Stand	22132	2
89.8	0.64	Stand	22450	2
90.428	0.64	Stand	22607	2
91.068	0.64	Stand	22767	2
91.7	0.64	Stand	22925	2
92.96	0.64	Stand	23240	2
93.588	0.64	Large dev	23397	4
94.22	0.64	Stand	23555	2
94.86	0.64	Stand	23715	2
95.488	0.64	Large dev	23872	4
96.12	0.64	Stand	24030	2
96.76	0.64	Inter dev	24190	6
97.388	0.64	Stand	24347	2
98.02	0.64	Stand	24505	2
98.66	0.64	Stand	24665	2
99.288	0.64	Stand	24822	2
99.92	0.64	Large dev	24980	4
100.548	0.64	Stand	25137	2
101.18	0.64	Stand	25295	2
101.808	0.64	Inter dev	25452	6
102.448	0.64	Stand	25612	2
103.088	0.64	Stand	25772	2
103.72	0.64	Stand	25930	2
104.348	0.64	Inter dev	26087	6
104.988	0.64	Stand	26247	2
106.268	0.64	Stand	26567	2
106.9	0.64	Stand	26725	2
107.528	0.64	Large dev	26882	4
108.16	0.64	Stand	27040	2
108.788	0.64	Stand	27197	2
109.42	0.64	Stand	27355	2
110.06	0.64	Inter dev	27515	6
110.7	0.64	Stand	27675	2
111.328	0.64	Stand	27832	2
112.6	0.64	Stand	28150	2
113.228	0.64	Stand	28307	2
113.86	0.64	Stand	28465	2
114.488	0.64	Inter dev	28622	6
115.128	0.64	Stand	28782	2
115.76	0.64	Stand	28940	2
116.388	0.64	Stand	29097	2
117.028	0.64	Stand	29257	2
118.288	0.64	Stand	29572	2
118.92	0.64	Stand	29730	2
119.56	0.64	Inter dev	29890	6
120.188	0.64	Stand	30047	2
120.82	0.64	Large dev	30205	4
121.448	0.64	Stand	30362	2
122.08	0.64	Stand	30520	2
123.34	0.64	Stand	30835	2
123.968	0.64	Stand	30992	2
124.6	0.64	Stand	31150	2
125.24	0.64	Inter dev	31310	6
125.868	0.64	Stand	31467	2
126.5	0.64	Stand	31625	2
127.128	0.64	Stand	31782	2
127.76	0.64	Large dev	31940	4
128.388	0.64	Stand	32097	2
129.02	0.64	Stand	32255	2
129.648	0.64	Inter dev	32412	6
130.28	0.64	Stand	32570	2
130.908	0.64	Stand	32727	2
131.548	0.64	Stand	32887	2
132.82	0.64	Stand	33205	2
133.448	0.64	Large dev	33362	4
134.08	0.64	Stand	33520	2
134.708	0.64	Stand	33677	2
135.34	0.64	Inter dev	33835	6
135.98	0.64	Stand	33995	2
136.608	0.64	Stand	34152	2
137.88	0.64	Stand	34470	2
138.52	0.64	Stand	34630	2
139.16	0.64	Stand	34790	2
139.788	0.64	Stand	34947	2
140.42	0.64	Large dev	35105	4
141.048	0.64	Stand	35262	2
142.308	0.64	Stand	35577	2
142.94	0.64	Stand	35735	2
143.568	0.64	Inter dev	35892	6
144.208	0.64	Stand	36052	2
144.84	0.64	Stand	36210	2
145.468	0.64	Stand	36367	2
146.1	0.64	Stand	36525	2
146.728	0.64	Inter dev	36682	6
