onset	duration	trial_type	sample	value
16.224	0.64	Stand	4056	2
16.856	0.64	Stand	4214	2
17.484	0.64	Stand	4371	2
18.116	0.64	Stand	4529	2
18.744	0.64	Stand	4686	2
19.376	0.64	Stand	4844	2
20.004	0.64	Stand	5001	2
20.636	0.64	Stand	5159	2
21.264	0.64	Stand	5316	2
21.896	0.64	Stand	5474	2
22.524	0.64	Stand	5631	2
23.156	0.64	Stand	5789	2
23.784	0.64	Stand	5946	2
24.416	0.64	Stand	6104	2
25.044	0.64	Large dev	6261	4
25.676	0.64	Stand	6419	2
26.304	0.64	Stand	6576	2
26.936	0.64	Inter dev	6734	6
27.564	0.64	Stand	6891	2
28.196	0.64	Stand	7049	2
29.456	0.64	Stand	7364	2
30.084	0.64	Stand	7521	2
30.716	0.64	Stand	7679	2
31.344	0.64	Stand	7836	2
32.604	0.64	Stand	8151	2
33.236	0.64	Large dev	8309	4
33.864	0.64	Stand	8466	2
34.496	0.64	Stand	8624	2
35.124	0.64	Large dev	8781	4
35.756	0.64	Stand	8939	2
36.384	0.64	Inter dev	9096	6
37.016	0.64	Stand	9254	2
37.644	0.64	Stand	9411	2
38.276	0.64	Stand	9569	2
38.904	0.64	Stand	9726	2
39.536	0.64	Large dev	9884	4
40.164	0.64	Stand	10041	2
40.796	0.64	Stand	10199	2
41.424	0.64	Inter dev	10356	6
42.056	0.64	Stand	10514	2
42.684	0.64	Stand	10671	2
43.324	0.64	Stand	10831	2
43.956	0.64	Inter dev	10989	6
44.584	0.64	Stand	11146	2
45.844	0.64	Stand	11461	2
46.476	0.64	Stand	11619	2
47.104	0.64	Large dev	11776	4
47.736	0.64	Stand	11934	2
48.364	0.64	Stand	12091	2
48.996	0.64	Stand	12249	2
49.624	0.64	Inter dev	12406	6
50.256	0.64	Stand	12564	2
50.884	0.64	Stand	12721	2
52.144	0.64	Stand	13036	2
52.776	0.64	Stand	13194	2
53.404	0.64	Stand	13351	2
54.036	0.64	Inter dev	13509	6
54.664	0.64	Stand	13666	2
55.296	0.64	Stand	13824	2
55.924	0.64	Stand	13981	2
56.556	0.64	Stand	14139	2
57.816	0.64	Stand	14454	2
58.444	0.64	Stand	14611	2
59.076	0.64	Inter dev	14769	6
59.704	0.64	Stand	14926	2
60.336	0.64	Large dev	15084	4
60.964	0.64	Stand	15241	2
61.596	0.64	Stand	15399	2
62.856	0.64	Stand	15714	2
63.484	0.64	Stand	15871	2
64.116	0.64	Stand	16029	2
64.744	0.64	Inter dev	16186	6
65.376	0.64	Stand	16344	2
66.004	0.64	Stand	16501	2
66.636	0.64	Stand	16659	2
67.264	0.64	Large dev	16816	4
67.896	0.64	Stand	16974	2
68.524	0.64	Stand	17131	2
69.156	0.64	Inter dev	17289	6
69.784	0.64	Stand	17446	2
70.416	0.64	Stand	17604	2
71.044	0.64	Stand	17761	2
72.304	0.64	Stand	18076	2
72.936	0.64	Large dev	18234	4
73.564	0.64	Stand	18391	2
74.196	0.64	Stand	18549	2
74.824	0.64	Inter dev	18706	6
75.456	0.64	Stand	18864	2
76.084	0.64	Stand	19021	2
77.344	0.64	Stand	19336	2
77.976	0.64	Stand	19494	2
78.604	0.64	Stand	19651	2
79.236	0.64	Stand	19809	2
79.864	0.64	Large dev	19966	4
80.496	0.64	Stand	20124	2
81.756	0.64	Stand	20439	2
82.384	0.64	Stand	20596	2
83.016	0.64	Inter dev	20754	6
83.644	0.64	Stand	20911	2
84.276	0.64	Stand	21069	2
84.904	0.64	Stand	21226	2
85.536	0.64	Stand	21384	2
86.164	0.64	Inter dev	21541	6
86.796	0.64	Stand	21699	2
87.424	0.64	Stand	21856	2
88.056	0.64	Inter dev	22014	6
88.684	0.64	Stand	22171	2
89.316	0.64	Stand	22329	2
89.944	0.64	Stand	22486	2
91.204	0.64	Stand	22801	2
91.836	0.64	Stand	22959	2
92.464	0.64	Inter dev	23116	6
93.096	0.64	Stand	23274	2
93.724	0.64	Stand	23431	2
94.356	0.64	Large dev	23589	4
94.984	0.64	Stand	23746	2
95.616	0.64	Stand	23904	2
96.872	0.64	Stand	24218	2
97.504	0.64	Inter dev	24376	6
98.136	0.64	Stand	24534	2
99.392	0.64	Stand	24848	2
100.024	0.64	Inter dev	25006	6
100.656	0.64	Stand	25164	2
101.284	0.64	Stand	25321	2
101.912	0.64	Stand	25478	2
103.176	0.64	Stand	25794	2
103.804	0.64	Inter dev	25951	6
104.432	0.64	Stand	26108	2
105.064	0.64	Stand	26266	2
105.696	0.64	Stand	26424	2
106.324	0.64	Large dev	26581	4
106.952	0.64	Stand	26738	2
107.584	0.64	Stand	26896	2
108.216	0.64	Stand	27054	2
109.472	0.64	Stand	27368	2
110.104	0.64	Large dev	27526	4
110.736	0.64	Stand	27684	2
111.364	0.64	Stand	27841	2
111.996	0.64	Stand	27999	2
112.624	0.64	Inter dev	28156	6
113.256	0.64	Stand	28314	2
113.884	0.64	Stand	28471	2
114.516	0.64	Large dev	28629	4
