onset	duration	trial_type	sample	value
29.968	0.64	na	7492	254
30.632	0.64	Stand	7658	2
31.26	0.64	Stand	7815	2
31.892	0.64	Stand	7973	2
32.52	0.64	Stand	8130	2
33.152	0.64	Stand	8288	2
33.78	0.64	Stand	8445	2
34.42	0.64	Stand	8605	2
35.06	0.64	Stand	8765	2
35.7	0.64	Stand	8925	2
36.332	0.64	Stand	9083	2
36.96	0.64	Stand	9240	2
37.6	0.64	Stand	9400	2
38.24	0.64	Stand	9560	2
38.872	0.64	Stand	9718	2
39.512	0.64	Large dev	9878	4
40.152	0.64	Stand	10038	2
40.78	0.64	Stand	10195	2
41.412	0.64	Inter dev	10353	6
42.052	0.64	Stand	10513	2
42.68	0.64	Stand	10670	2
43.312	0.64	na	10828	8
43.952	0.64	Stand	10988	2
44.58	0.64	Stand	11145	2
45.212	0.64	Stand	11303	2
45.84	0.64	Stand	11460	2
46.472	0.64	na	11618	8
47.112	0.64	Stand	11778	2
47.74	0.64	Large dev	11935	4
48.372	0.64	Stand	12093	2
49.0	0.64	Stand	12250	2
49.632	0.64	Large dev	12408	4
50.26	0.64	Stand	12565	2
50.9	0.64	Inter dev	12725	6
51.54	0.64	Stand	12885	2
52.172	0.64	Stand	13043	2
52.8	0.64	Stand	13200	2
53.432	0.64	Stand	13358	2
54.072	0.64	Large dev	13518	4
54.712	0.64	Stand	13678	2
55.352	0.64	Stand	13838	2
55.98	0.64	Inter dev	13995	6
56.612	0.64	Stand	14153	2
57.252	0.64	Stand	14313	2
57.892	0.64	Stand	14473	2
58.52	0.64	Inter dev	14630	6
59.16	0.64	Stand	14790	2
59.8	0.64	na	14950	8
60.44	0.64	Stand	15110	2
61.08	0.64	Stand	15270	2
61.712	0.64	Large dev	15428	4
62.352	0.64	Stand	15588	2
62.98	0.64	Stand	15745	2
63.612	0.64	Stand	15903	2
64.24	0.64	Inter dev	16060	6
64.88	0.64	Stand	16220	2
65.512	0.64	Stand	16378	2
66.14	0.64	na	16535	8
66.772	0.64	Stand	16693	2
67.412	0.64	Stand	16853	2
68.04	0.64	Stand	17010	2
68.672	0.64	Inter dev	17168	6
69.3	0.64	Stand	17325	2
69.932	0.64	Stand	17483	2
70.572	0.64	Stand	17643	2
71.2	0.64	Stand	17800	2
71.84	0.64	na	17960	8
72.48	0.64	Stand	18120	2
73.112	0.64	Stand	18278	2
73.74	0.64	Inter dev	18435	6
74.372	0.64	Stand	18593	2
75.0	0.64	Large dev	18750	4
75.632	0.64	Stand	18908	2
76.26	0.64	Stand	19065	2
76.9	0.64	na	19225	8
77.532	0.64	Stand	19383	2
78.172	0.64	Stand	19543	2
78.8	0.64	Stand	19700	2
79.44	0.64	Inter dev	19860	6
80.072	0.64	Stand	20018	2
80.7	0.64	Stand	20175	2
81.34	0.64	Stand	20335	2
81.98	0.64	Large dev	20495	4
82.62	0.64	Stand	20655	2
83.252	0.64	Stand	20813	2
83.88	0.64	Inter dev	20970	6
84.512	0.64	Stand	21128	2
85.14	0.64	Stand	21285	2
85.772	0.64	Stand	21443	2
86.4	0.64	na	21600	8
87.04	0.64	Stand	21760	2
87.672	0.64	Large dev	21918	4
88.312	0.64	Stand	22078	2
88.94	0.64	Stand	22235	2
89.572	0.64	Inter dev	22393	6
90.2	0.64	Stand	22550	2
90.84	0.64	Stand	22710	2
91.472	0.64	na	22868	8
92.1	0.64	Stand	23025	2
92.732	0.64	Stand	23183	2
93.36	0.64	Stand	23340	2
94.0	0.64	Stand	23500	2
94.632	0.64	Large dev	23658	4
95.26	0.64	Stand	23815	2
95.892	0.64	na	23973	8
96.52	0.64	Stand	24130	2
97.16	0.64	Stand	24290	2
97.8	0.64	Inter dev	24450	6
98.44	0.64	Stand	24610	2
99.072	0.64	Stand	24768	2
99.712	0.64	Stand	24928	2
100.352	0.64	Stand	25088	2
100.992	0.64	Inter dev	25248	6
101.632	0.64	Stand	25408	2
102.26	0.64	Stand	25565	2
102.892	0.64	Inter dev	25723	6
103.52	0.64	Stand	25880	2
104.16	0.64	Stand	26040	2
104.792	0.64	Stand	26198	2
105.42	0.64	na	26355	8
106.06	0.64	Stand	26515	2
106.7	0.64	Stand	26675	2
107.332	0.64	Inter dev	26833	6
107.972	0.64	Stand	26993	2
108.6	0.64	Stand	27150	2
109.24	0.64	Large dev	27310	4
109.88	0.64	Stand	27470	2
110.512	0.64	Stand	27628	2
111.14	0.64	na	27785	8
111.78	0.64	Stand	27945	2
112.408	0.64	Inter dev	28102	6
113.04	0.64	Stand	28260	2
113.68	0.64	na	28420	8
114.32	0.64	Stand	28580	2
114.96	0.64	Inter dev	28740	6
115.6	0.64	Stand	28900	2
116.24	0.64	Stand	29060	2
116.88	0.64	Stand	29220	2
117.508	0.64	na	29377	8
118.148	0.64	Stand	29537	2
118.78	0.64	Inter dev	29695	6
119.412	0.64	Stand	29853	2
120.052	0.64	Stand	30013	2
120.692	0.64	Stand	30173	2
121.332	0.64	Large dev	30333	4
121.96	0.64	Stand	30490	2
122.6	0.64	Stand	30650	2
123.24	0.64	Stand	30810	2
123.88	0.64	na	30970	8
124.512	0.64	Stand	31128	2
125.152	0.64	Large dev	31288	4
125.78	0.64	Stand	31445	2
126.42	0.64	Stand	31605	2
127.06	0.64	Stand	31765	2
127.7	0.64	Inter dev	31925	6
128.328	0.64	Stand	32082	2
128.972	0.64	Stand	32243	2
129.612	0.64	Large dev	32403	4
130.24	0.64	Stand	32560	2
130.868	0.64	Stand	32717	2
131.5	0.64	Stand	32875	2
132.132	0.64	Large dev	33033	4
132.76	0.64	Stand	33190	2
133.388	0.64	Stand	33347	2
134.028	0.64	Inter dev	33507	6
134.66	0.64	Stand	33665	2
135.3	0.64	Stand	33825	2
135.94	0.64	Stand	33985	2
136.572	0.64	Stand	34143	2
137.2	0.64	Large dev	34300	4
137.84	0.64	Stand	34460	2
138.472	0.64	Stand	34618	2
139.112	0.64	na	34778	8
139.74	0.64	Stand	34935	2
140.368	0.64	Stand	35092	2
141.0	0.64	Inter dev	35250	6
141.632	0.64	Stand	35408	2
142.272	0.64	Large dev	35568	4
142.912	0.64	Stand	35728	2
143.552	0.64	Stand	35888	2
144.192	0.64	na	36048	8
144.832	0.64	Stand	36208	2
145.46	0.64	Inter dev	36365	6
146.092	0.64	Stand	36523	2
146.732	0.64	Stand	36683	2
147.372	0.64	Large dev	36843	4
148.0	0.64	Stand	37000	2
148.628	0.64	Stand	37157	2
149.268	0.64	Stand	37317	2
149.9	0.64	Stand	37475	2
150.54	0.64	Large dev	37635	4
151.172	0.64	Stand	37793	2
151.812	0.64	Stand	37953	2
152.452	0.64	Stand	38113	2
153.092	0.64	Inter dev	38273	6
153.72	0.64	Stand	38430	2
154.352	0.64	na	38588	8
154.98	0.64	Stand	38745	2
155.612	0.64	Stand	38903	2
156.248	0.64	Large dev	39062	4
156.88	0.64	Stand	39220	2
157.52	0.64	Stand	39380	2
158.152	0.64	Stand	39538	2
158.78	0.64	Stand	39695	2
159.408	0.64	Large dev	39852	4
160.04	0.64	Stand	40010	2
160.672	0.64	Stand	40168	2
161.312	0.64	Stand	40328	2
161.94	0.64	Stand	40485	2
162.58	0.64	Inter dev	40645	6
163.22	0.64	Stand	40805	2
163.86	0.64	Stand	40965	2
164.492	0.64	Stand	41123	2
165.132	0.64	Large dev	41283	4
165.76	0.64	Stand	41440	2
166.392	0.64	Stand	41598	2
167.02	0.64	na	41755	8
167.652	0.64	Stand	41913	2
168.292	0.64	Stand	42073	2
168.92	0.64	Stand	42230	2
169.552	0.64	Stand	42388	2
170.18	0.64	Large dev	42545	4
170.812	0.64	Stand	42703	2
171.452	0.64	Stand	42863	2
172.08	0.64	Stand	43020	2
172.72	0.64	Stand	43180	2
173.352	0.64	na	43338	8
173.992	0.64	Stand	43498	2
174.632	0.64	Stand	43658	2
175.26	0.64	Stand	43815	2
175.9	0.64	Inter dev	43975	6
176.532	0.64	Stand	44133	2
177.16	0.64	Stand	44290	2
177.792	0.64	Stand	44448	2
178.42	0.64	Stand	44605	2
179.06	0.64	Inter dev	44765	6
179.692	0.64	Stand	44923	2
180.332	0.64	Stand	45083	2
180.96	0.64	Stand	45240	2
181.6	0.64	na	45400	8
182.232	0.64	Stand	45558	2
182.86	0.64	Stand	45715	2
183.492	0.64	Large dev	45873	4
184.132	0.64	Stand	46033	2
184.772	0.64	Inter dev	46193	6
185.412	0.64	Stand	46353	2
186.04	0.64	Stand	46510	2
186.672	0.64	Stand	46668	2
187.3	0.64	Stand	46825	2
187.932	0.64	Large dev	46983	4
188.56	0.64	Stand	47140	2
189.2	0.64	Stand	47300	2
189.832	0.64	Stand	47458	2
190.46	0.64	na	47615	8
191.1	0.64	Stand	47775	2
191.74	0.64	Inter dev	47935	6
192.38	0.64	Stand	48095	2
193.02	0.64	Stand	48255	2
193.652	0.64	na	48413	8
194.28	0.64	Stand	48570	2
194.912	0.64	Stand	48728	2
195.54	0.64	Stand	48885	2
196.172	0.64	Stand	49043	2
196.808	0.64	Large dev	49202	4
197.44	0.64	Stand	49360	2
198.068	0.64	Stand	49517	2
198.7	0.64	Stand	49675	2
199.328	0.64	Inter dev	49832	6
199.96	0.64	Stand	49990	2
200.588	0.64	Stand	50147	2
201.22	0.64	Stand	50305	2
201.848	0.64	na	50462	8
202.488	0.64	Stand	50622	2
203.128	0.64	Stand	50782	2
203.76	0.64	Large dev	50940	4
204.388	0.64	Stand	51097	2
205.02	0.64	Inter dev	51255	6
205.648	0.64	Stand	51412	2
206.28	0.64	Stand	51570	2
206.92	0.64	Stand	51730	2
207.548	0.64	na	51887	8
208.18	0.64	Stand	52045	2
208.808	0.64	Stand	52202	2
209.44	0.64	Large dev	52360	4
210.068	0.64	Stand	52517	2
210.708	0.64	Stand	52677	2
211.34	0.64	Stand	52835	2
211.98	0.64	Inter dev	52995	6
212.608	0.64	Stand	53152	2
213.248	0.64	Large dev	53312	4
213.88	0.64	Stand	53470	2
214.52	0.64	Stand	53630	2
215.148	0.64	Stand	53787	2
215.788	0.64	Stand	53947	2
216.428	0.64	Large dev	54107	4
217.06	0.64	Stand	54265	2
217.7	0.64	Stand	54425	2
218.328	0.64	Inter dev	54582	6
218.968	0.64	Stand	54742	2
219.6	0.64	Stand	54900	2
220.24	0.64	Stand	55060	2
220.88	0.64	na	55220	8
221.52	0.64	Stand	55380	2
222.148	0.64	Stand	55537	2
222.78	0.64	Inter dev	55695	6
223.42	0.64	Stand	55855	2
224.06	0.64	Stand	56015	2
224.688	0.64	Stand	56172	2
225.328	0.64	Large dev	56332	4
225.968	0.64	Stand	56492	2
226.608	0.64	Stand	56652	2
227.24	0.64	na	56810	8
227.868	0.64	Stand	56967	2
228.5	0.64	na	57125	8
229.128	0.64	Stand	57282	2
229.768	0.64	Stand	57442	2
230.4	0.64	Large dev	57600	4
231.028	0.64	Stand	57757	2
231.668	0.64	Stand	57917	2
232.308	0.64	Stand	58077	2
232.94	0.64	na	58235	8
233.568	0.64	Stand	58392	2
234.2	0.64	Stand	58550	2
234.84	0.64	Large dev	58710	4
235.468	0.64	Stand	58867	2
236.108	0.64	Stand	59027	2
236.74	0.64	Inter dev	59185	6
237.38	0.64	Stand	59345	2
238.02	0.64	Stand	59505	2
238.66	0.64	Large dev	59665	4
239.3	0.64	Stand	59825	2
239.928	0.64	na	59982	8
240.56	0.64	Stand	60140	2
241.188	0.64	Stand	60297	2
241.82	0.64	Stand	60455	2
242.46	0.64	na	60615	8
243.1	0.64	Stand	60775	2
243.728	0.64	Stand	60932	2
244.36	0.64	Stand	61090	2
245.0	0.64	Large dev	61250	4
245.64	0.64	Stand	61410	2
246.28	0.64	na	61570	8
246.908	0.64	Stand	61727	2
247.54	0.64	Inter dev	61885	6
248.168	0.64	Stand	62042	2
248.8	0.64	Stand	62200	2
249.428	0.64	Stand	62357	2
250.068	0.64	na	62517	8
250.708	0.64	Stand	62677	2
251.348	0.64	Stand	62837	2
251.98	0.64	Large dev	62995	4
252.62	0.64	Stand	63155	2
253.248	0.64	Inter dev	63312	6
253.888	0.64	Stand	63472	2
254.528	0.64	Stand	63632	2
255.16	0.64	Stand	63790	2
255.792	0.64	na	63948	8
256.428	0.64	Stand	64107	2
257.068	0.64	Stand	64267	2
257.708	0.64	Inter dev	64427	6
258.348	0.64	Stand	64587	2
258.98	0.64	Stand	64745	2
259.612	0.64	Stand	64903	2
260.252	0.64	Large dev	65063	4
260.88	0.64	Stand	65220	2
261.52	0.64	Stand	65380	2
262.16	0.64	na	65540	8
262.8	0.64	Stand	65700	2
263.428	0.64	Stand	65857	2
264.06	0.64	Stand	66015	2
264.7	0.64	Inter dev	66175	6
265.34	0.64	Stand	66335	2
265.98	0.64	Stand	66495	2
266.608	0.64	Large dev	66652	4
267.24	0.64	Stand	66810	2
267.872	0.64	Stand	66968	2
268.512	0.64	Stand	67128	2
269.14	0.64	Stand	67285	2
269.768	0.64	na	67442	8
270.408	0.64	Stand	67602	2
271.04	0.64	Inter dev	67760	6
271.68	0.64	Stand	67920	2
272.32	0.64	Large dev	68080	4
272.948	0.64	Stand	68237	2
273.588	0.64	Stand	68397	2
274.22	0.64	Stand	68555	2
274.86	0.64	Large dev	68715	4
275.492	0.64	Stand	68873	2
276.12	0.64	Stand	69030	2
276.748	0.64	Inter dev	69187	6
277.38	0.64	Stand	69345	2
278.012	0.64	Stand	69503	2
278.652	0.64	na	69663	8
279.28	0.64	Stand	69820	2
279.92	0.64	Large dev	69980	4
280.548	0.64	Stand	70137	2
281.18	0.64	Stand	70295	2
281.82	0.64	na	70455	8
