onset	duration	trial_type	sample	value
2.776	0.64	Stand	694	2
3.408	0.64	Stand	852	2
4.036	0.64	Stand	1009	2
4.668	0.64	Stand	1167	2
5.308	0.64	Stand	1327	2
5.948	0.64	Stand	1487	2
6.588	0.64	Stand	1647	2
7.228	0.64	Stand	1807	2
7.868	0.64	Stand	1967	2
8.508	0.64	Stand	2127	2
9.148	0.64	Stand	2287	2
9.788	0.64	Stand	2447	2
10.428	0.64	Stand	2607	2
11.068	0.64	Stand	2767	2
11.708	0.64	Large dev	2927	4
12.348	0.64	Stand	3087	2
12.988	0.64	Stand	3247	2
13.628	0.64	Inter dev	3407	6
14.268	0.64	Stand	3567	2
14.908	0.64	Stand	3727	2
16.188	0.64	Stand	4047	2
16.828	0.64	Stand	4207	2
17.468	0.64	Stand	4367	2
18.108	0.64	Stand	4527	2
19.388	0.64	Stand	4847	2
20.028	0.64	Large dev	5007	4
20.668	0.64	Stand	5167	2
21.308	0.64	Stand	5327	2
21.948	0.64	Large dev	5487	4
22.588	0.64	Stand	5647	2
23.228	0.64	Inter dev	5807	6
23.868	0.64	Stand	5967	2
24.508	0.64	Stand	6127	2
25.148	0.64	Stand	6287	2
25.788	0.64	Stand	6447	2
26.428	0.64	Large dev	6607	4
27.068	0.64	Stand	6767	2
27.708	0.64	Stand	6927	2
28.348	0.64	Inter dev	7087	6
28.988	0.64	Stand	7247	2
29.628	0.64	Stand	7407	2
30.268	0.64	Stand	7567	2
30.908	0.64	Inter dev	7727	6
31.548	0.64	Stand	7887	2
32.828	0.64	Stand	8207	2
33.468	0.64	Stand	8367	2
34.108	0.64	Large dev	8527	4
34.748	0.64	Stand	8687	2
35.388	0.64	Stand	8847	2
36.028	0.64	Stand	9007	2
36.668	0.64	Inter dev	9167	6
37.296	0.64	Stand	9324	2
37.936	0.64	Stand	9484	2
39.216	0.64	Stand	9804	2
39.856	0.64	Stand	9964	2
40.496	0.64	Stand	10124	2
41.136	0.64	Inter dev	10284	6
41.776	0.64	Stand	10444	2
42.416	0.64	Stand	10604	2
43.056	0.64	Stand	10764	2
43.688	0.64	Stand	10922	2
44.968	0.64	Stand	11242	2
45.608	0.64	Stand	11402	2
46.248	0.64	Inter dev	11562	6
46.888	0.64	Stand	11722	2
47.528	0.64	Large dev	11882	4
48.168	0.64	Stand	12042	2
48.808	0.64	Stand	12202	2
50.088	0.64	Stand	12522	2
50.728	0.64	Stand	12682	2
51.368	0.64	Stand	12842	2
52.008	0.64	Inter dev	13002	6
52.648	0.64	Stand	13162	2
53.276	0.64	Stand	13319	2
53.916	0.64	Stand	13479	2
54.556	0.64	Large dev	13639	4
55.196	0.64	Stand	13799	2
55.828	0.64	Stand	13957	2
56.468	0.64	Inter dev	14117	6
57.108	0.64	Stand	14277	2
57.748	0.64	Stand	14437	2
58.388	0.64	Stand	14597	2
59.668	0.64	Stand	14917	2
60.308	0.64	Large dev	15077	4
60.948	0.64	Stand	15237	2
61.588	0.64	Stand	15397	2
62.228	0.64	Inter dev	15557	6
62.868	0.64	Stand	15717	2
63.496	0.64	Stand	15874	2
64.776	0.64	Stand	16194	2
65.416	0.64	Stand	16354	2
66.056	0.64	Stand	16514	2
66.7	0.64	Stand	16675	2
67.336	0.64	Large dev	16834	4
67.976	0.64	Stand	16994	2
69.256	0.64	Stand	17314	2
69.896	0.64	Stand	17474	2
70.536	0.64	Inter dev	17634	6
71.176	0.64	Stand	17794	2
71.816	0.64	Stand	17954	2
72.456	0.64	Stand	18114	2
73.096	0.64	Stand	18274	2
73.736	0.64	Inter dev	18434	6
74.38	0.64	Stand	18595	2
75.016	0.64	Stand	18754	2
75.656	0.64	Inter dev	18914	6
76.296	0.64	Stand	19074	2
76.936	0.64	Stand	19234	2
77.576	0.64	Stand	19394	2
78.856	0.64	Stand	19714	2
79.496	0.64	Stand	19874	2
80.136	0.64	Inter dev	20034	6
80.776	0.64	Stand	20194	2
81.42	0.64	Stand	20355	2
82.056	0.64	Large dev	20514	4
82.696	0.64	Stand	20674	2
83.336	0.64	Stand	20834	2
84.608	0.64	Stand	21152	2
85.248	0.64	Inter dev	21312	6
85.888	0.64	Stand	21472	2
87.168	0.64	Stand	21792	2
87.808	0.64	Inter dev	21952	6
88.448	0.64	Stand	22112	2
89.088	0.64	Stand	22272	2
89.728	0.64	Stand	22432	2
91.008	0.64	Stand	22752	2
91.648	0.64	Inter dev	22912	6
92.288	0.64	Stand	23072	2
92.928	0.64	Stand	23232	2
93.568	0.64	Stand	23392	2
94.208	0.64	Large dev	23552	4
94.848	0.64	Stand	23712	2
95.488	0.64	Stand	23872	2
96.128	0.64	Stand	24032	2
97.408	0.64	Stand	24352	2
98.048	0.64	Large dev	24512	4
98.688	0.64	Stand	24672	2
99.328	0.64	Stand	24832	2
99.968	0.64	Stand	24992	2
100.608	0.64	Inter dev	25152	6
101.248	0.64	Stand	25312	2
101.876	0.64	Stand	25469	2
102.516	0.64	Large dev	25629	4
103.148	0.64	Stand	25787	2
103.788	0.64	Stand	25947	2
104.428	0.64	Stand	26107	2
105.068	0.64	Large dev	26267	4
105.708	0.64	Stand	26427	2
106.348	0.64	Stand	26587	2
106.988	0.64	Inter dev	26747	6
107.628	0.64	Stand	26907	2
108.268	0.64	Stand	27067	2
108.908	0.64	Stand	27227	2
109.548	0.64	Stand	27387	2
110.188	0.64	Large dev	27547	4
110.828	0.64	Stand	27707	2
111.468	0.64	Stand	27867	2
112.748	0.64	Stand	28187	2
113.388	0.64	Stand	28347	2
114.028	0.64	Inter dev	28507	6
114.668	0.64	Stand	28667	2
115.308	0.64	Large dev	28827	4
115.948	0.64	Stand	28987	2
116.588	0.64	Stand	29147	2
117.868	0.64	Stand	29467	2
118.508	0.64	Inter dev	29627	6
119.148	0.64	Stand	29787	2
119.788	0.64	Stand	29947	2
120.428	0.64	Large dev	30107	4
121.068	0.64	Stand	30267	2
121.708	0.64	Stand	30427	2
122.348	0.64	Stand	30587	2
122.988	0.64	Stand	30747	2
123.628	0.64	Large dev	30907	4
124.268	0.64	Stand	31067	2
124.908	0.64	Stand	31227	2
125.548	0.64	Stand	31387	2
126.188	0.64	Inter dev	31547	6
126.828	0.64	Stand	31707	2
128.108	0.64	Stand	32027	2
128.748	0.64	Stand	32187	2
129.388	0.64	Large dev	32347	4
130.028	0.64	Stand	32507	2
130.668	0.64	Stand	32667	2
131.308	0.64	Stand	32827	2
131.948	0.64	Stand	32987	2
132.588	0.64	Large dev	33147	4
133.228	0.64	Stand	33307	2
133.868	0.64	Stand	33467	2
134.508	0.64	Stand	33627	2
135.148	0.64	Stand	33787	2
135.788	0.64	Inter dev	33947	6
136.428	0.64	Stand	34107	2
137.068	0.64	Stand	34267	2
137.708	0.64	Stand	34427	2
138.348	0.64	Large dev	34587	4
138.988	0.64	Stand	34747	2
139.628	0.64	Stand	34907	2
140.908	0.64	Stand	35227	2
141.548	0.64	Stand	35387	2
142.188	0.64	Stand	35547	2
142.828	0.64	Stand	35707	2
143.468	0.64	Large dev	35867	4
144.108	0.64	Stand	36027	2
144.748	0.64	Stand	36187	2
145.388	0.64	Stand	36347	2
146.028	0.64	Stand	36507	2
147.308	0.64	Stand	36827	2
147.948	0.64	Stand	36987	2
148.576	0.64	Stand	37144	2
149.216	0.64	Inter dev	37304	6
149.856	0.64	Stand	37464	2
150.496	0.64	Stand	37624	2
151.136	0.64	Stand	37784	2
151.776	0.64	Stand	37944	2
152.416	0.64	Inter dev	38104	6
153.056	0.64	Stand	38264	2
153.696	0.64	Stand	38424	2
154.336	0.64	Stand	38584	2
155.616	0.64	Stand	38904	2
156.256	0.64	Stand	39064	2
156.896	0.64	Large dev	39224	4
157.536	0.64	Stand	39384	2
158.176	0.64	Inter dev	39544	6
158.816	0.64	Stand	39704	2
159.456	0.64	Stand	39864	2
160.096	0.64	Stand	40024	2
160.736	0.64	Stand	40184	2
161.376	0.64	Large dev	40344	4
162.016	0.64	Stand	40504	2
162.656	0.64	Stand	40664	2
163.296	0.64	Stand	40824	2
164.576	0.64	Stand	41144	2
165.216	0.64	Inter dev	41304	6
165.856	0.64	Stand	41464	2
166.496	0.64	Stand	41624	2
167.776	0.64	Stand	41944	2
168.416	0.64	Stand	42104	2
169.056	0.64	Stand	42264	2
169.696	0.64	Stand	42424	2
170.336	0.64	Large dev	42584	4
170.968	0.64	Stand	42742	2
171.608	0.64	Stand	42902	2
172.248	0.64	Stand	43062	2
172.888	0.64	Inter dev	43222	6
173.528	0.64	Stand	43382	2
174.168	0.64	Stand	43542	2
174.808	0.64	Stand	43702	2
176.088	0.64	Stand	44022	2
176.728	0.64	Stand	44182	2
177.368	0.64	Large dev	44342	4
178.008	0.64	Stand	44502	2
178.648	0.64	Inter dev	44662	6
179.288	0.64	Stand	44822	2
179.928	0.64	Stand	44982	2
180.568	0.64	Stand	45142	2
181.848	0.64	Stand	45462	2
182.488	0.64	Stand	45622	2
183.124	0.64	Large dev	45781	4
183.768	0.64	Stand	45942	2
184.408	0.64	Stand	46102	2
185.048	0.64	Stand	46262	2
185.688	0.64	Inter dev	46422	6
186.328	0.64	Stand	46582	2
186.968	0.64	Large dev	46742	4
187.608	0.64	Stand	46902	2
188.248	0.64	Stand	47062	2
188.888	0.64	Stand	47222	2
189.528	0.64	Stand	47382	2
190.168	0.64	Large dev	47542	4
190.808	0.64	Stand	47702	2
191.448	0.64	Stand	47862	2
192.088	0.64	Inter dev	48022	6
192.728	0.64	Stand	48182	2
193.368	0.64	Stand	48342	2
194.008	0.64	Stand	48502	2
195.288	0.64	Stand	48822	2
195.928	0.64	Stand	48982	2
196.568	0.64	Inter dev	49142	6
197.208	0.64	Stand	49302	2
197.848	0.64	Stand	49462	2
198.488	0.64	Stand	49622	2
199.128	0.64	Large dev	49782	4
199.768	0.64	Stand	49942	2
200.408	0.64	Stand	50102	2
201.688	0.64	Stand	50422	2
202.968	0.64	Stand	50742	2
203.608	0.64	Stand	50902	2
204.248	0.64	Large dev	51062	4
204.888	0.64	Stand	51222	2
205.528	0.64	Stand	51382	2
206.168	0.64	Stand	51542	2
207.436	0.64	Stand	51859	2
208.076	0.64	Stand	52019	2
208.716	0.64	Large dev	52179	4
209.356	0.64	Stand	52339	2
209.996	0.64	Stand	52499	2
210.636	0.64	Inter dev	52659	6
211.276	0.64	Stand	52819	2
211.916	0.64	Stand	52979	2
212.556	0.64	Large dev	53139	4
213.196	0.64	Stand	53299	2
214.476	0.64	Stand	53619	2
215.116	0.64	Stand	53779	2
215.756	0.64	Stand	53939	2
217.036	0.64	Stand	54259	2
217.668	0.64	Stand	54417	2
218.308	0.64	Stand	54577	2
218.948	0.64	Large dev	54737	4
219.588	0.64	Stand	54897	2
220.868	0.64	Stand	55217	2
221.508	0.64	Inter dev	55377	6
222.148	0.64	Stand	55537	2
222.788	0.64	Stand	55697	2
223.428	0.64	Stand	55857	2
224.708	0.64	Stand	56177	2
225.348	0.64	Stand	56337	2
225.988	0.64	Large dev	56497	4
226.628	0.64	Stand	56657	2
227.268	0.64	Inter dev	56817	6
227.896	0.64	Stand	56974	2
228.536	0.64	Stand	57134	2
229.176	0.64	Stand	57294	2
230.456	0.64	Stand	57614	2
231.096	0.64	Stand	57774	2
231.736	0.64	Inter dev	57934	6
232.376	0.64	Stand	58094	2
233.016	0.64	Stand	58254	2
233.656	0.64	Stand	58414	2
234.296	0.64	Large dev	58574	4
234.936	0.64	Stand	58734	2
235.576	0.64	Stand	58894	2
236.856	0.64	Stand	59214	2
237.488	0.64	Stand	59372	2
238.128	0.64	Stand	59532	2
238.768	0.64	Inter dev	59692	6
239.408	0.64	Stand	59852	2
240.048	0.64	Stand	60012	2
240.688	0.64	Large dev	60172	4
241.328	0.64	Stand	60332	2
241.968	0.64	Stand	60492	2
242.608	0.64	Stand	60652	2
243.248	0.64	Stand	60812	2
244.528	0.64	Stand	61132	2
245.168	0.64	Inter dev	61292	6
245.808	0.64	Stand	61452	2
246.448	0.64	Large dev	61612	4
247.088	0.64	Stand	61772	2
247.728	0.64	Stand	61932	2
248.368	0.64	Stand	62092	2
249.008	0.64	Large dev	62252	4
249.648	0.64	Stand	62412	2
250.288	0.64	Stand	62572	2
250.928	0.64	Inter dev	62732	6
251.568	0.64	Stand	62892	2
252.208	0.64	Stand	63052	2
253.488	0.64	Stand	63372	2
254.128	0.64	Large dev	63532	4
254.768	0.64	Stand	63692	2
255.408	0.64	Stand	63852	2
256.688	0.64	Stand	64172	2
257.328	0.64	Inter dev	64332	6
257.968	0.64	Stand	64492	2
258.608	0.64	Stand	64652	2
259.888	0.64	Stand	64972	2
260.528	0.64	Stand	65132	2
261.168	0.64	Inter dev	65292	6
261.808	0.64	Stand	65452	2
262.448	0.64	Stand	65612	2
263.088	0.64	Stand	65772	2
263.728	0.64	Large dev	65932	4
264.368	0.64	Stand	66092	2
265.008	0.64	Stand	66252	2
265.648	0.64	Large dev	66412	4
266.288	0.64	Stand	66572	2
267.568	0.64	Stand	66892	2
268.208	0.64	Stand	67052	2
268.848	0.64	Inter dev	67212	6
269.488	0.64	Stand	67372	2
270.128	0.64	Stand	67532	2
270.768	0.64	Stand	67692	2
271.408	0.64	Large dev	67852	4
272.044	0.64	Stand	68011	2
272.684	0.64	Stand	68171	2
273.964	0.64	Stand	68491	2
274.604	0.64	Inter dev	68651	6
275.244	0.64	Stand	68811	2
275.884	0.64	Stand	68971	2
277.164	0.64	Stand	69291	2
277.804	0.64	Stand	69451	2
278.444	0.64	Stand	69611	2
279.084	0.64	Stand	69771	2
280.364	0.64	Stand	70091	2
281.004	0.64	Stand	70251	2
281.644	0.64	Stand	70411	2
282.284	0.64	Large dev	70571	4
282.924	0.64	Stand	70731	2
283.564	0.64	Large dev	70891	4
284.204	0.64	Stand	71051	2
284.844	0.64	Stand	71211	2
285.484	0.64	Inter dev	71371	6
286.124	0.64	Stand	71531	2
286.764	0.64	Stand	71691	2
287.404	0.64	Stand	71851	2
288.676	0.64	Stand	72169	2
289.316	0.64	Stand	72329	2
289.956	0.64	Stand	72489	2
290.596	0.64	Stand	72649	2
291.236	0.64	Inter dev	72809	6
291.876	0.64	Stand	72969	2
292.516	0.64	Stand	73129	2
293.156	0.64	Large dev	73289	4
293.796	0.64	Stand	73449	2
294.436	0.64	Stand	73609	2
295.076	0.64	Large dev	73769	4
295.716	0.64	Stand	73929	2
296.356	0.64	Stand	74089	2
296.996	0.64	Stand	74249	2
298.276	0.64	Stand	74569	2
