onset	duration	trial_type	sample	value
15.628	0.64	Stand	3907	2
16.268	0.64	Stand	4067	2
16.908	0.64	Stand	4227	2
17.548	0.64	Stand	4387	2
18.188	0.64	Stand	4547	2
18.828	0.64	Stand	4707	2
19.468	0.64	Stand	4867	2
20.108	0.64	Stand	5027	2
20.748	0.64	Stand	5187	2
21.388	0.64	Stand	5347	2
22.028	0.64	Stand	5507	2
22.668	0.64	Stand	5667	2
23.308	0.64	Stand	5827	2
23.948	0.64	Stand	5987	2
24.588	0.64	Stand	6147	2
25.228	0.64	Large dev	6307	4
25.868	0.64	Stand	6467	2
26.508	0.64	Stand	6627	2
27.148	0.64	Inter dev	6787	6
27.788	0.64	Stand	6947	2
28.428	0.64	Stand	7107	2
29.708	0.64	Stand	7427	2
30.348	0.64	Stand	7587	2
30.988	0.64	Stand	7747	2
31.628	0.64	Stand	7907	2
32.908	0.64	Stand	8227	2
33.548	0.64	Large dev	8387	4
34.188	0.64	Stand	8547	2
34.828	0.64	Stand	8707	2
35.468	0.64	Large dev	8867	4
36.108	0.64	Stand	9027	2
36.748	0.64	Inter dev	9187	6
37.388	0.64	Stand	9347	2
38.028	0.64	Stand	9507	2
38.668	0.64	Stand	9667	2
39.308	0.64	Stand	9827	2
39.948	0.64	Large dev	9987	4
40.588	0.64	Stand	10147	2
41.228	0.64	Stand	10307	2
41.868	0.64	Inter dev	10467	6
42.508	0.64	Stand	10627	2
43.148	0.64	Stand	10787	2
43.788	0.64	Stand	10947	2
44.428	0.64	Inter dev	11107	6
45.068	0.64	Stand	11267	2
46.348	0.64	Stand	11587	2
46.988	0.64	Stand	11747	2
47.628	0.64	Large dev	11907	4
48.268	0.64	Stand	12067	2
48.908	0.64	Stand	12227	2
49.548	0.64	Stand	12387	2
50.188	0.64	Inter dev	12547	6
50.828	0.64	Stand	12707	2
51.468	0.64	Stand	12867	2
52.748	0.64	Stand	13187	2
53.388	0.64	Stand	13347	2
54.028	0.64	Stand	13507	2
54.668	0.64	Inter dev	13667	6
55.308	0.64	Stand	13827	2
55.948	0.64	Stand	13987	2
56.588	0.64	Stand	14147	2
57.228	0.64	Stand	14307	2
58.508	0.64	Stand	14627	2
59.148	0.64	Stand	14787	2
59.788	0.64	Inter dev	14947	6
60.428	0.64	Stand	15107	2
61.068	0.64	Large dev	15267	4
61.708	0.64	Stand	15427	2
62.348	0.64	Stand	15587	2
63.628	0.64	Stand	15907	2
64.268	0.64	Stand	16067	2
64.908	0.64	Stand	16227	2
